Timestamp,PlayerID,CPUUsage,MemoryUsage,NetworkSent,NetworkReceived,Importance,ProcessingTime,Mode,TotalErrors
2024-09-30T06:55:59.9238305Z,6,28.930313,26357760,128,32,2,0.1294,1,0
2024-09-30T06:55:59.9280066Z,5,54.650166,26357760,128,64,2,0.0697,1,0
2024-09-30T06:55:59.9333874Z,8,51.764122,24268800,128,16,1,0.0233,1,0
2024-09-30T06:55:59.9364306Z,7,51.764122,24268800,128,32,2,0.0295,1,0
2024-09-30T06:55:59.9426810Z,10,28.930313,24268800,128,16,1,0.0516,1,0
2024-09-30T06:55:59.9459491Z,4,80.694435,24268800,128,32,2,0.0622,1,0
2024-09-30T06:55:59.9490683Z,1,13.027998,24268800,128,32,2,0.0708,1,0
2024-09-30T06:55:59.9521307Z,3,64.79212,24268800,128,16,1,0.0378,1,0
2024-09-30T06:55:59.9557889Z,9,13.027998,24268800,128,32,2,0.0537,1,0
2024-09-30T06:55:59.9598319Z,2,13.027998,24268800,128,32,2,0.1086,1,0
2024-09-30T06:56:00.9453956Z,9,8.6880455,24326144,128,32,2,0.1124,1,0
2024-09-30T06:56:00.9494881Z,4,8.6880455,24326144,128,32,2,0.0589,1,0
2024-09-30T06:56:00.9534829Z,8,34.73492,24326144,128,32,2,0.1004,1,0
2024-09-30T06:56:00.9567338Z,7,34.73492,24338432,128,16,1,0.0594,1,0
2024-09-30T06:56:00.9599901Z,6,31.250698,24338432,128,32,2,0.1,1,0
2024-09-30T06:56:00.9634286Z,3,26.046875,24342528,128,32,2,0.0614,1,0
2024-09-30T06:56:00.9669951Z,10,39.075745,24342528,128,16,1,0.0564,1,0
2024-09-30T06:56:00.9708029Z,1,13.028868,24342528,128,32,2,0.0663,1,0
2024-09-30T06:56:00.9743382Z,2,13.028868,24342528,128,64,2,0.0578,1,0
2024-09-30T06:56:00.9776540Z,5,13.028868,24342528,128,16,1,0.2353,1,0
2024-09-30T06:56:01.9308727Z,2,7.3908825,24502272,128,32,2,0.3542,1,0
2024-09-30T06:56:01.9347819Z,10,7.3908825,24502272,128,32,2,0.0709,1,0
2024-09-30T06:56:01.9386036Z,4,26.915298,24502272,128,64,2,0.0584,1,0
2024-09-30T06:56:01.9426497Z,8,26.915298,24502272,128,16,1,0.073,1,0
2024-09-30T06:56:01.9455233Z,5,19.524418,24502272,128,16,1,0.4742,1,0
2024-09-30T06:56:01.9490477Z,7,24.408348,24502272,128,32,2,0.0593,1,0
2024-09-30T06:56:01.9524820Z,9,19.524418,24502272,128,16,1,0.476,1,0
2024-09-30T06:56:01.9560220Z,3,51.795006,24502272,128,64,2,0.1233,1,0
2024-09-30T06:56:01.9593533Z,1,51.795006,24502272,128,64,2,0.0414,1,0
2024-09-30T06:56:01.9628694Z,6,51.795006,24502272,128,32,2,0.0712,1,0
2024-09-30T06:56:02.9199210Z,10,59.5553,24682496,128,64,2,0.0478,1,0
2024-09-30T06:56:02.9331561Z,6,7.7602944,24682496,128,64,2,0.0247,1,0
2024-09-30T06:56:02.9399529Z,7,20.823364,24682496,128,32,2,0.0719,1,0
2024-09-30T06:56:02.9440211Z,9,20.823364,24682496,128,16,1,0.0508,1,0
2024-09-30T06:56:02.9472164Z,8,18.420506,24682496,128,16,1,0.0282,1,0
2024-09-30T06:56:02.9506694Z,3,13.06307,24682496,128,32,2,0.0361,1,0
2024-09-30T06:56:02.9544010Z,2,39.115158,24682496,128,16,1,0.0565,1,0
2024-09-30T06:56:02.9583416Z,1,26.052088,24682496,128,16,1,0.0913,1,0
2024-09-30T06:56:02.9620048Z,4,26.052088,24682496,128,64,2,0.0392,1,0
2024-09-30T06:56:02.9656815Z,5,26.052088,24682496,128,32,2,0.0217,1,0
2024-09-30T06:56:03.9342544Z,8,7.1700726,24682496,128,64,2,0.0992,1,0
