Timestamp,PlayerID,CPUUsage,MemoryUsage,NetworkSent,NetworkReceived,Importance,ProcessingTime,Mode,TotalErrors
2024-09-30T06:49:46.5101084Z,6,18.711477,26497024,128,64,4,0.1035,1,0
2024-09-30T06:49:46.5352245Z,8,21.756527,26497024,128,16,1,0.054,1,0
2024-09-30T06:49:46.5416576Z,1,26.224575,26497024,128,16,1,0.1205,1,0
2024-09-30T06:49:46.5480286Z,2,31.126686,26497024,128,128,3,0.0733,1,0
2024-09-30T06:49:46.5512033Z,3,34.026386,26497024,128,128,3,0.1146,1,0
2024-09-30T06:49:46.5545190Z,5,26.482964,26497024,128,128,3,0.0791,1,0
2024-09-30T06:49:46.5579155Z,9,23.437914,26497024,128,16,1,0.1511,1,0
2024-09-30T06:49:46.5645565Z,10,18.969067,26497024,128,16,1,0.0591,1,0
2024-09-30T06:49:46.5677152Z,7,11.167255,26497024,128,128,3,0.1015,1,0
2024-09-30T06:49:46.5745204Z,4,28.56684,26497024,128,128,4,0.162,1,0
2024-09-30T06:49:47.4465313Z,6,34.725048,26566656,128,16,1,0.0577,1,0
2024-09-30T06:49:47.5278894Z,7,29.045656,26566656,128,64,4,0.0586,1,0
2024-09-30T06:49:47.5340818Z,8,61.02419,26566656,128,16,1,0.0314,1,0
2024-09-30T06:49:47.5374474Z,10,81.09082,26566656,128,64,3,0.0781,1,0
2024-09-30T06:49:47.5408457Z,2,63.69124,26566656,128,64,3,0.4019,1,0
2024-09-30T06:49:47.5472906Z,4,70.56299,26570752,128,64,3,0.0427,1,0
2024-09-30T06:49:47.5602116Z,9,13.029955,26570752,128,128,4,0.0694,1,0
2024-09-30T06:49:47.5637058Z,3,13.029955,26570752,128,16,1,0.5333,1,0
2024-09-30T06:49:47.5670791Z,5,65.07512,26570752,128,64,3,0.3707,1,0
2024-09-30T06:49:47.5704749Z,1,13.029955,26570752,128,16,1,0.2993,1,0
2024-09-30T06:49:48.4732962Z,6,8.301343,26624000,128,64,5,0.0725,1,0
2024-09-30T06:49:48.5336929Z,5,38.702206,26624000,128,128,4,0.0363,1,0
2024-09-30T06:49:48.5442755Z,4,36.43875,26624000,128,128,5,0.047,1,0
2024-09-30T06:49:48.5501015Z,2,41.5678,26624000,128,16,1,0.0463,1,0
2024-09-30T06:49:48.5533231Z,7,12.527045,26624000,128,128,4,0.1967,1,0
2024-09-30T06:49:48.5569856Z,10,38.702206,26624000,128,64,4,0.0422,1,0
2024-09-30T06:49:48.5665866Z,8,37.342094,26624000,128,64,3,0.0376,1,0
2024-09-30T06:49:48.5697256Z,3,11.166936,26624000,128,128,3,0.0805,1,0
2024-09-30T06:49:48.5732177Z,1,20.915745,26624000,128,128,3,0.072,1,0
