Timestamp,PlayerID,CPUUsage,MemoryUsage,NetworkSent,NetworkReceived,Importance,ProcessingTime,Mode,TotalErrors
2024-09-30T06:17:21.4293860Z,1,21.597176,26832896,128,128,1,0.0736,0,0
2024-09-30T06:17:21.4332561Z,7,19.542486,26832896,128,128,1,0.0394,0,0
2024-09-30T06:17:21.4355430Z,2,17.254099,26832896,128,128,1,0.172,0,0
2024-09-30T06:17:21.4385412Z,10,19.542486,26832896,128,128,1,0.1086,0,0
2024-09-30T06:17:21.4414904Z,4,25.597858,26832896,128,128,1,0.0647,0,0
2024-09-30T06:17:21.4475714Z,3,19.542486,26832896,128,128,1,0.0357,0,0
2024-09-30T06:17:21.4509931Z,6,8.559536,26832896,128,128,1,0.3175,0,0
2024-09-30T06:17:21.4568792Z,8,19.542486,26832896,128,128,1,0.0353,0,0
2024-09-30T06:17:21.4606015Z,5,21.597176,26832896,128,128,1,0.1011,0,0
2024-09-30T06:17:21.4669370Z,9,18.013882,26832896,128,128,1,0.0441,0,0
2024-09-30T06:17:22.4412346Z,5,24.98356,26890240,128,128,1,0.0532,0,0
2024-09-30T06:17:22.4446904Z,6,51.160473,26890240,128,128,1,0.062,0,0
2024-09-30T06:17:22.4480047Z,3,26.176914,26890240,128,128,1,0.0685,0,0
2024-09-30T06:17:22.4539152Z,9,26.176914,26890240,128,128,1,0.0182,0,0
2024-09-30T06:17:22.4568588Z,7,26.05904,26890240,128,128,1,0.054,0,0
2024-09-30T06:17:22.4604232Z,2,26.05904,26890240,128,128,1,0.0322,0,0
2024-09-30T06:17:22.4635587Z,8,24.98356,26890240,128,128,1,0.0582,0,0
2024-09-30T06:17:22.4699133Z,10,33.14659,26890240,128,128,1,0.0277,0,0
2024-09-30T06:17:22.4729706Z,1,30.649479,26890240,128,128,1,0.0423,0,0
2024-09-30T06:17:22.4792651Z,4,26.05904,26890240,128,128,1,0.0531,0,0
2024-09-30T06:17:23.4478919Z,8,33.675022,26927104,128,128,1,0.0825,0,0
2024-09-30T06:17:23.4607799Z,7,33.675022,26927104,128,128,1,0.0344,0,0
2024-09-30T06:17:23.4644614Z,10,33.675022,26927104,128,128,1,0.1093,0,0
2024-09-30T06:17:23.4682935Z,2,7.615983,26927104,128,128,1,0.1203,0,0
2024-09-30T06:17:23.4751086Z,6,31.31159,26927104,128,128,1,0.0393,0,0
2024-09-30T06:17:23.4780438Z,1,26.05904,26927104,128,128,1,0.3167,0,0
2024-09-30T06:17:23.4816696Z,5,26.05904,26927104,128,128,1,0.2236,0,0
2024-09-30T06:17:23.4858612Z,3,26.05904,26927104,128,128,1,0.4176,0,0
2024-09-30T06:17:23.4890849Z,9,26.05904,26927104,128,128,1,0.0275,0,0
2024-09-30T06:17:23.4953346Z,4,26.05904,26927104,128,128,1,0.0415,0,0
2024-09-30T06:17:24.4631875Z,7,33.269108,26972160,128,128,1,0.0685,0,0
2024-09-30T06:17:24.4669224Z,5,7.210069,26972160,128,128,1,0.0701,0,0
2024-09-30T06:17:24.4765550Z,1,7.210069,26972160,128,128,1,0.0455,0,0
2024-09-30T06:17:24.4801769Z,2,22.38186,26972160,128,128,1,0.0382,0,0
2024-09-30T06:17:24.4841294Z,3,7.210069,26972160,128,128,1,0.0262,0,0
2024-09-30T06:17:24.4878683Z,6,26.983997,26972160,128,128,1,0.0431,0,0
2024-09-30T06:17:24.4919063Z,10,22.38186,26972160,128,128,1,0.0369,0,0
2024-09-30T06:17:24.4951169Z,8,22.38186,26972160,128,128,1,0.0876,0,0
2024-09-30T06:17:24.4985231Z,4,22.38186,26972160,128,128,1,0.0415,0,0
2024-09-30T06:17:24.5051599Z,9,7.8189898,26972160,128,128,1,0.0342,0,0
2024-09-30T06:17:25.4747210Z,1,13.367802,26984448,128,128,1,0.0358,0,0
2024-09-30T06:17:25.4783121Z,7,39.29883,26984448,128,128,1,0.1552,0,0
2024-09-30T06:17:25.4817625Z,4,13.367802,26984448,128,128,1,0.0222,0,0
2024-09-30T06:17:25.4941714Z,2,31.47984,26984448,128,128,1,0.0436,0,0
2024-09-30T06:17:25.4975306Z,6,42.133537,26984448,128,128,1,0.0352,0,0
2024-09-30T06:17:25.5015302Z,10,38.959244,26984448,128,128,1,0.0268,0,0
2024-09-30T06:17:25.5052734Z,5,38.959244,26984448,128,128,1,0.2987,0,0
2024-09-30T06:17:25.5087971Z,8,13.028216,26984448,128,128,1,0.039,0,0
2024-09-30T06:17:25.5126118Z,3,19.53538,26984448,128,128,1,0.0302,0,0
2024-09-30T06:17:25.5185426Z,9,6.507163,26984448,128,128,1,0.0345,0,0
2024-09-30T06:17:26.4858142Z,10,12.538676,24879104,128,128,1,0.0295,0,0
2024-09-30T06:17:26.4892864Z,6,32.130596,24879104,128,128,1,0.0235,0,0
2024-09-30T06:17:26.4929680Z,8,12.538676,24879104,128,128,1,0.0433,0,0
2024-09-30T06:17:26.4965894Z,9,32.130596,24879104,128,128,1,0.0416,0,0
2024-09-30T06:17:26.5000803Z,3,29.783247,24879104,128,128,1,0.0416,0,0
2024-09-30T06:17:26.5037505Z,2,26.099085,24879104,128,128,1,0.0315,0,0
2024-09-30T06:17:26.5103627Z,7,26.099085,24879104,128,128,1,0.0405,0,0
2024-09-30T06:17:26.5135955Z,1,52.45577,24879104,128,128,1,0.0226,0,0
2024-09-30T06:17:26.5168371Z,4,52.45577,24879104,128,128,1,0.0605,0,0
2024-09-30T06:17:26.5204160Z,5,52.45577,24879104,128,128,1,0.0453,0,0
2024-09-30T06:17:27.4902997Z,10,57.135433,24895488,128,128,1,0.1224,0,0
2024-09-30T06:17:27.4978257Z,9,17.708313,24895488,128,128,1,0.0202,0,0
2024-09-30T06:17:27.5039794Z,2,17.708313,24895488,128,128,1,0.0263,0,0
2024-09-30T06:17:27.5072077Z,6,15.393252,24895488,128,128,1,0.0154,0,0
2024-09-30T06:17:27.5104383Z,7,39.08595,24895488,128,128,1,0.0388,0,0
2024-09-30T06:17:27.5136083Z,5,26.0573,24895488,128,128,1,0.0387,0,0
2024-09-30T06:17:27.5169705Z,4,26.0573,24895488,128,128,1,0.0234,0,0
2024-09-30T06:17:27.5232962Z,8,26.0573,24895488,128,128,1,0.0243,0,0
2024-09-30T06:17:27.5267198Z,1,17.708313,24895488,128,128,1,0.0262,0,0
2024-09-30T06:17:27.5301112Z,3,39.09443,24895488,128,128,1,0.0409,0,0
2024-09-30T06:17:28.5011937Z,3,43.97647,23891968,128,128,1,0.0317,0,0
2024-09-30T06:17:28.5079122Z,10,17.94955,23891968,128,128,1,0.0404,0,0
2024-09-30T06:17:28.5117688Z,8,43.97647,23891968,128,128,1,0.0371,0,0
2024-09-30T06:17:28.5183851Z,4,28.585075,23891968,128,128,1,0.0184,0,0
2024-09-30T06:17:28.5220550Z,7,30.939342,23891968,128,128,1,0.1049,0,0
2024-09-30T06:17:28.5256433Z,5,26.02692,23891968,128,128,1,0.0623,0,0
2024-09-30T06:17:28.5289565Z,9,26.052958,23891968,128,128,1,0.1158,0,0
2024-09-30T06:17:28.5321405Z,6,26.052958,23891968,128,128,1,0.025,0,0
2024-09-30T06:17:28.5355171Z,1,26.052958,23891968,128,128,1,0.0233,0,0
2024-09-30T06:17:28.5418195Z,2,26.052958,23891968,128,128,1,0.051,0,0
2024-09-30T06:17:29.5063121Z,2,5.8711314,23891968,128,128,1,0.0492,0,0
2024-09-30T06:17:29.5165526Z,4,5.8711314,23891968,128,128,1,0.0542,0,0
2024-09-30T06:17:29.5229551Z,8,5.8711314,23891968,128,128,1,0.0228,0,0
2024-09-30T06:17:29.5264527Z,3,5.8711314,23891968,128,128,1,0.0199,0,0
2024-09-30T06:17:29.5300525Z,1,29.451706,23891968,128,128,1,0.0347,0,0
2024-09-30T06:17:29.5338504Z,6,25.936193,23891968,128,128,1,0.0443,0,0
2024-09-30T06:17:29.5371385Z,7,25.936193,23891968,128,128,1,0.0392,0,0
2024-09-30T06:17:29.5403073Z,9,25.936193,23891968,128,128,1,0.0383,0,0
2024-09-30T06:17:29.5434794Z,5,8.629736,23891968,128,128,1,0.0299,0,0
2024-09-30T06:17:29.5467869Z,10,25.936193,23891968,128,128,1,0.0218,0,0
2024-09-30T06:17:30.4955577Z,3,13.066314,23891968,128,128,1,0.0308,0,0
2024-09-30T06:17:30.5110340Z,8,14.187211,23891968,128,128,1,0.032,0,0
2024-09-30T06:17:30.5146270Z,2,22.816948,23891968,128,128,1,0.0231,0,0
2024-09-30T06:17:30.5187082Z,6,22.816948,23891968,128,128,1,0.0433,0,0
2024-09-30T06:17:30.5309478Z,5,16.271973,23891968,128,128,1,0.0412,0,0
2024-09-30T06:17:30.5348393Z,1,18.378176,23891968,128,128,1,0.0375,0,0
2024-09-30T06:17:30.5389780Z,4,6.5213404,23891968,128,128,1,0.0451,0,0
2024-09-30T06:17:30.5422142Z,10,50.566536,23891968,128,128,1,0.0674,0,0
2024-09-30T06:17:30.5483367Z,9,11.539164,23891968,128,128,1,0.0413,0,0
2024-09-30T06:17:30.5576837Z,7,48.384487,23891968,128,128,1,0.0229,0,0
