Time, CPU(%), Memory(MB), Sent(Bytes), Received(Bytes), Errors, Average Response Time(ms)
2024-09-18 오전 11:48:07, 0.00, 42.00, 473218, 224518, 0, 0.01
2024-09-18 오전 11:48:08, 0.38, 42.00, 479169, 227338, 0, 0.01
2024-09-18 오전 11:48:09, 0.38, 42.00, 485061, 230130, 0, 0.02
2024-09-18 오전 11:48:10, 0.38, 42.00, 490953, 232922, 0, 0.02
2024-09-18 오전 11:48:11, 0.00, 42.00, 496845, 235714, 0, 0.01
2024-09-18 오전 11:48:12, 0.76, 42.00, 502914, 238590, 0, 0.01
2024-09-18 오전 11:48:13, 0.00, 42.00, 508806, 241382, 0, 0.00
2024-09-18 오전 11:48:14, 0.39, 42.00, 514757, 244202, 0, 0.02
2024-09-18 오전 11:48:15, 0.00, 42.00, 520708, 247022, 0, 0.05
2024-09-18 오전 11:48:16, 0.00, 42.00, 526600, 249814, 0, 0.05
2024-09-18 오전 11:48:17, 0.00, 42.00, 532551, 252634, 0, 0.06
2024-09-18 오전 11:48:18, 0.00, 42.00, 538443, 255426, 0, 0.04
2024-09-18 오전 11:48:19, 0.77, 42.00, 544394, 258246, 0, 0.02
2024-09-18 오전 11:48:20, 0.00, 42.00, 550522, 261150, 0, 0.00
2024-09-18 오전 11:48:21, 0.00, 42.00, 556414, 263942, 0, 0.09
2024-09-18 오전 11:48:22, 1.53, 42.00, 562306, 266734, 0, 0.12
2024-09-18 오전 11:48:23, 0.00, 42.00, 568257, 269554, 0, 0.13
2024-09-18 오전 11:48:24, 0.77, 42.00, 574149, 272346, 0, 0.06
2024-09-18 오전 11:48:25, 0.38, 42.00, 580158, 275193, 0, 0.04
2024-09-18 오전 11:48:26, 0.00, 42.00, 586227, 278069, 0, 0.01
2024-09-18 오전 11:48:27, 0.38, 42.00, 592178, 280889, 0, 0.13
2024-09-18 오전 11:48:28, 0.38, 42.00, 598070, 283681, 0, 0.04
2024-09-18 오전 11:48:29, 0.00, 42.00, 604079, 286528, 0, 0.05
2024-09-18 오전 11:48:30, 0.00, 42.00, 609971, 289320, 0, 0.01
2024-09-18 오전 11:48:31, 0.00, 42.00, 615863, 292112, 0, 0.02
2024-09-18 오전 11:48:32, 0.38, 42.00, 621755, 294904, 0, 0.01
2024-09-18 오전 11:48:33, 0.00, 42.00, 627825, 297781, 0, 0.02
2024-09-18 오전 11:48:34, 0.38, 42.00, 633834, 300628, 0, 0.02
2024-09-18 오전 11:48:35, 0.38, 42.00, 639844, 303476, 0, 0.02
2024-09-18 오전 11:48:36, 0.39, 42.00, 645736, 306268, 0, 0.04
2024-09-18 오전 11:48:37, 0.38, 42.00, 651746, 309116, 0, 0.03
2024-09-18 오전 11:48:38, 0.76, 42.00, 657638, 311908, 0, 0.03
2024-09-18 오전 11:48:39, 0.38, 42.00, 663530, 314700, 0, 0.04
2024-09-18 오전 11:48:40, 0.00, 42.00, 669422, 317492, 0, 0.04
2024-09-18 오전 11:48:41, 0.00, 42.00, 675314, 320284, 0, 0.06
2024-09-18 오전 11:48:42, 0.38, 42.00, 681324, 323132, 0, 0.07
2024-09-18 오전 11:48:43, 1.15, 42.00, 687334, 325980, 0, 0.07
2024-09-18 오전 11:48:44, 1.15, 42.00, 693226, 328772, 0, 0.00
2024-09-18 오전 11:48:45, 0.38, 42.00, 699177, 331592, 0, 0.00
2024-09-18 오전 11:48:46, 0.38, 42.00, 705362, 334522, 0, 0.01
2024-09-18 오전 11:48:47, 0.38, 42.00, 711254, 337314, 0, 0.02
2024-09-18 오전 11:48:48, 0.39, 42.00, 717146, 340106, 0, 0.03
2024-09-18 오전 11:48:49, 0.38, 42.00, 723097, 342926, 0, 0.03
2024-09-18 오전 11:48:51, 0.76, 42.00, 728989, 345718, 0, 0.06
2024-09-18 오전 11:48:52, 0.39, 42.00, 734881, 348510, 0, 0.05
2024-09-18 오전 11:48:53, 0.39, 42.00, 740832, 351330, 0, 0.03
2024-09-18 오전 11:48:54, 0.76, 42.00, 746724, 354122, 0, 0.04
2024-09-18 오전 11:48:55, 0.38, 42.00, 752616, 356914, 0, 0.00
2024-09-18 오전 11:48:56, 0.39, 42.00, 758685, 359790, 0, 0.04
2024-09-18 오전 11:48:57, 0.00, 42.00, 764694, 362637, 0, 0.03
2024-09-18 오전 11:48:58, 1.15, 42.00, 770586, 365429, 0, 0.00
2024-09-18 오전 11:48:59, 0.38, 42.00, 776478, 368221, 0, 0.02
2024-09-18 오전 11:49:00, 0.00, 42.00, 782429, 371041, 0, 0.00
2024-09-18 오전 11:49:01, 0.00, 42.00, 788321, 373833, 0, 0.00
2024-09-18 오전 11:49:02, 0.38, 42.00, 794213, 376625, 0, 0.00
2024-09-18 오전 11:49:03, 0.38, 42.00, 800105, 379417, 0, 0.00
2024-09-18 오전 11:49:04, 0.00, 42.00, 806291, 382348, 0, 0.07
2024-09-18 오전 11:49:05, 0.00, 42.00, 812183, 385140, 0, 0.02
2024-09-18 오전 11:49:06, 1.15, 42.00, 818075, 387932, 0, 0.03
2024-09-18 오전 11:49:07, 0.38, 42.00, 823967, 390724, 0, 0.04
2024-09-18 오전 11:49:08, 0.38, 42.00, 830036, 393600, 0, 0.08
2024-09-18 오전 11:49:09, 0.38, 42.00, 835928, 396392, 0, 0.10
2024-09-18 오전 11:49:10, 0.00, 42.00, 841820, 399184, 0, 0.09
2024-09-18 오전 11:49:11, 1.15, 42.00, 847888, 402059, 0, 0.08
2024-09-18 오전 11:49:12, 0.38, 42.00, 853780, 404851, 0, 0.10
2024-09-18 오전 11:49:13, 0.00, 42.00, 859672, 407643, 0, 0.11
2024-09-18 오전 11:49:14, 0.77, 42.00, 865740, 410518, 0, 0.12
2024-09-18 오전 11:49:15, 0.38, 42.00, 871632, 413310, 0, 0.13
2024-09-18 오전 11:49:16, 0.00, 42.00, 877760, 416214, 0, 0.13
2024-09-18 오전 11:49:17, 1.54, 42.00, 883652, 419006, 0, 0.05
2024-09-18 오전 11:49:18, 0.38, 42.00, 889544, 421798, 0, 0.07
2024-09-18 오전 11:49:19, 0.38, 42.00, 895495, 424618, 0, 0.07
2024-09-18 오전 11:49:20, 0.00, 42.00, 901387, 427410, 0, 0.02
2024-09-18 오전 11:49:21, 0.77, 42.00, 907279, 430202, 0, 0.03
2024-09-18 오전 11:49:22, 0.38, 42.00, 913348, 433078, 0, 0.09
2024-09-18 오전 11:49:23, 0.00, 42.00, 919240, 435870, 0, 0.03
2024-09-18 오전 11:49:24, 0.00, 42.00, 925132, 438662, 0, 0.01
2024-09-18 오전 11:49:25, 0.38, 42.00, 931024, 441454, 0, 0.06
2024-09-18 오전 11:49:26, 0.00, 42.00, 936916, 444246, 0, 0.02
2024-09-18 오전 11:49:27, 0.00, 42.00, 942985, 447122, 0, 0.04
2024-09-18 오전 11:49:28, 0.38, 42.00, 948877, 449914, 0, 0.07
2024-09-18 오전 11:49:29, 0.38, 42.00, 954769, 452706, 0, 0.04
2024-09-18 오전 11:49:30, 0.00, 42.00, 960956, 455638, 0, 0.04
2024-09-18 오전 11:49:31, 0.38, 42.00, 966848, 458430, 0, 0.03
2024-09-18 오전 11:49:32, 0.38, 42.00, 972740, 461222, 0, 0.07
2024-09-18 오전 11:49:33, 0.38, 42.00, 978632, 464014, 0, 0.01
2024-09-18 오전 11:49:34, 0.00, 42.00, 984583, 466834, 0, 0.00
2024-09-18 오전 11:49:35, 0.38, 42.00, 990475, 469626, 0, 0.08
2024-09-18 오전 11:49:36, 0.38, 42.00, 996367, 472418, 0, 0.04
2024-09-18 오전 11:49:37, 0.00, 42.00, 1002554, 475350, 0, 0.06
2024-09-18 오전 11:49:38, 0.00, 42.00, 1008446, 478142, 0, 0.08
2024-09-18 오전 11:49:39, 0.38, 42.00, 1014338, 480934, 0, 0.06
2024-09-18 오전 11:49:40, 0.38, 42.00, 1020230, 483726, 0, 0.05
2024-09-18 오전 11:49:42, 0.00, 42.00, 1026240, 486574, 0, 0.04
2024-09-18 오전 11:49:43, 0.00, 42.00, 1032132, 489366, 0, 0.07
2024-09-18 오전 11:49:44, 0.76, 42.00, 1038024, 492158, 0, 0.04
2024-09-18 오전 11:49:45, 0.39, 42.00, 1043916, 494950, 0, 0.04
2024-09-18 오전 11:49:46, 0.38, 42.00, 1049985, 497826, 0, 0.00
2024-09-18 오전 11:49:47, 0.38, 42.00, 1055995, 500674, 0, 0.07
2024-09-18 오전 11:49:48, 0.39, 42.00, 1061769, 503410, 0, 0.09
2024-09-18 오전 11:49:49, 0.00, 42.00, 1067779, 506258, 0, 0.10
2024-09-18 오전 11:49:50, 0.00, 42.00, 1073671, 509050, 0, 0.06
2024-09-18 오전 11:49:51, 0.00, 42.00, 1079799, 511954, 0, 0.11
2024-09-18 오전 11:49:52, 0.38, 42.00, 1085691, 514746, 0, 0.10
