Time, CPU(%), Memory(MB), Sent(Bytes), Received(Bytes), Errors, Average Response Time(ms)
2024-09-17 오후 3:55:16, 0.00, 45.00, 177300, 83897, 0, 0.43
2024-09-17 오후 3:55:17, 0.75, 45.00, 182956, 86605, 0, 0.68
2024-09-17 오후 3:55:18, 0.77, 45.00, 188670, 89284, 0, 0.74
2024-09-17 오후 3:55:19, 1.15, 45.00, 194208, 91908, 0, 0.68
2024-09-17 오후 3:55:20, 0.00, 45.00, 199746, 94532, 0, 0.62
2024-09-17 오후 3:55:21, 0.38, 45.00, 205284, 97156, 0, 0.69
2024-09-17 오후 3:55:22, 0.77, 45.00, 210704, 99724, 0, 0.67
2024-09-17 오후 3:55:23, 0.38, 45.00, 216183, 102320, 0, 0.72
2024-09-17 오후 3:55:24, 0.00, 45.00, 221721, 104944, 0, 0.66
2024-09-17 오후 3:55:25, 0.38, 45.00, 227259, 107568, 0, 0.55
2024-09-17 오후 3:55:26, 1.15, 45.00, 232620, 110108, 0, 0.60
2024-09-17 오후 3:55:27, 1.14, 45.00, 238277, 112789, 0, 0.59
2024-09-17 오후 3:55:28, 0.00, 45.00, 243935, 115471, 0, 0.61
2024-09-17 오후 3:55:29, 0.00, 45.00, 249474, 118096, 0, 0.71
2024-09-17 오후 3:55:30, 0.00, 45.00, 255072, 120749, 0, 0.68
2024-09-17 오후 3:55:31, 0.77, 45.00, 260553, 123347, 0, 0.66
2024-09-17 오후 3:55:32, 0.38, 45.00, 266210, 126028, 0, 0.66
2024-09-17 오후 3:55:33, 0.00, 45.00, 271690, 128625, 0, 0.66
2024-09-17 오후 3:55:34, 0.38, 45.00, 277405, 131333, 0, 0.67
2024-09-17 오후 3:55:35, 0.38, 45.00, 283060, 134012, 0, 0.65
2024-09-17 오후 3:55:36, 0.00, 45.00, 288598, 136636, 0, 0.62
2024-09-17 오후 3:55:37, 0.76, 45.00, 294136, 139260, 0, 0.59
2024-09-17 오후 3:55:38, 0.38, 45.00, 299615, 141856, 0, 0.60
2024-09-17 오후 3:55:39, 0.77, 45.00, 305153, 144480, 0, 0.62
2024-09-17 오후 3:55:40, 0.38, 45.00, 310632, 147076, 0, 0.66
