Time, CPU(%), Memory(MB), Sent(Bytes), Received(Bytes), Errors, Average Response Time(ms)
2024-09-18 오후 3:25:10, 0.00, 39.00, 1162, 563, 0, 0.00
2024-09-18 오후 3:25:11, 1.13, 39.00, 1743, 834, 0, 0.00
2024-09-18 오후 3:25:12, 2.29, 39.00, 2324, 1105, 0, 0.00
2024-09-18 오후 3:25:13, 0.00, 39.00, 2905, 1376, 0, 0.00
2024-09-18 오후 3:25:14, 0.39, 39.00, 3486, 1647, 0, 0.00
2024-09-18 오후 3:25:15, 0.38, 39.00, 4067, 1918, 0, 0.00
2024-09-18 오후 3:25:16, 0.38, 39.00, 4648, 2189, 0, 0.00
2024-09-18 오후 3:25:17, 0.77, 39.00, 5229, 2460, 0, 0.00
2024-09-18 오후 3:25:18, 0.77, 39.00, 5810, 2731, 0, 0.00
2024-09-18 오후 3:25:19, 0.38, 39.00, 6391, 3002, 0, 0.00
2024-09-18 오후 3:25:20, 0.00, 39.00, 6972, 3273, 0, 0.00
2024-09-18 오후 3:25:21, 0.38, 39.00, 7553, 3544, 0, 0.00
2024-09-18 오후 3:25:22, 0.39, 39.00, 8134, 3815, 0, 0.00
2024-09-18 오후 3:25:23, 0.00, 39.00, 8715, 4086, 0, 0.00
2024-09-18 오후 3:25:24, 0.00, 39.00, 9296, 4357, 0, 0.00
2024-09-18 오후 3:25:25, 0.38, 39.00, 9877, 4628, 0, 0.00
2024-09-18 오후 3:25:26, 0.38, 39.00, 10458, 4899, 0, 0.00
2024-09-18 오후 3:25:27, 0.00, 39.00, 11039, 5170, 0, 0.00
2024-09-18 오후 3:25:28, 0.76, 39.00, 11620, 5441, 0, 0.00
2024-09-18 오후 3:25:29, 0.00, 39.00, 12201, 5712, 0, 0.00
2024-09-18 오후 3:25:30, 0.00, 39.00, 12782, 5983, 0, 0.00
2024-09-18 오후 3:25:31, 0.39, 39.00, 13363, 6254, 0, 0.00
2024-09-18 오후 3:25:32, 0.38, 39.00, 13944, 6525, 0, 11.70
2024-09-18 오후 3:25:33, 0.39, 39.00, 14525, 6796, 0, 0.00
2024-09-18 오후 3:25:34, 0.00, 39.00, 15106, 7067, 0, 0.00
2024-09-18 오후 3:25:35, 0.38, 39.00, 15687, 7338, 0, 0.00
2024-09-18 오후 3:25:36, 0.00, 39.00, 16268, 7609, 0, 0.00
2024-09-18 오후 3:25:37, 0.76, 39.00, 16849, 7880, 0, 0.00
2024-09-18 오후 3:25:38, 0.00, 39.00, 17430, 8151, 0, 0.00
2024-09-18 오후 3:25:39, 0.00, 39.00, 18011, 8422, 0, 0.00
2024-09-18 오후 3:25:40, 0.38, 39.00, 18592, 8693, 0, 0.00
2024-09-18 오후 3:25:41, 0.77, 39.00, 19173, 8964, 0, 0.00
2024-09-18 오후 3:25:42, 0.38, 39.00, 19754, 9235, 0, 0.00
2024-09-18 오후 3:25:43, 0.38, 39.00, 20335, 9506, 0, 0.00
2024-09-18 오후 3:25:44, 0.00, 39.00, 20916, 9777, 0, 0.00
2024-09-18 오후 3:25:45, 0.00, 39.00, 21497, 10048, 0, 0.00
2024-09-18 오후 3:25:46, 0.38, 39.00, 22078, 10319, 0, 0.00
2024-09-18 오후 3:25:47, 0.00, 39.00, 22659, 10590, 0, 0.00
2024-09-18 오후 3:25:48, 0.39, 39.00, 23240, 10861, 0, 0.00
2024-09-18 오후 3:25:49, 0.39, 39.00, 23821, 11132, 0, 0.00
2024-09-18 오후 3:25:51, 0.00, 39.00, 24402, 11403, 0, 0.00
2024-09-18 오후 3:25:52, 0.00, 39.00, 24983, 11674, 0, 0.00
2024-09-18 오후 3:25:53, 0.00, 39.00, 25564, 11945, 0, 0.00
2024-09-18 오후 3:25:54, 0.76, 39.00, 26145, 12216, 0, 0.00
2024-09-18 오후 3:25:55, 0.00, 39.00, 26726, 12487, 0, 0.00
2024-09-18 오후 3:25:56, 0.76, 39.00, 27307, 12758, 0, 0.00
2024-09-18 오후 3:25:57, 0.00, 39.00, 27888, 13029, 0, 0.00
2024-09-18 오후 3:25:58, 0.39, 39.00, 28469, 13300, 0, 0.00
2024-09-18 오후 3:25:59, 0.00, 39.00, 29050, 13571, 0, 0.00
2024-09-18 오후 3:26:00, 0.76, 39.00, 29631, 13842, 0, 0.00
2024-09-18 오후 3:26:01, 0.39, 39.00, 30212, 14113, 0, 0.00
2024-09-18 오후 3:26:02, 0.00, 39.00, 30793, 14384, 0, 0.00
2024-09-18 오후 3:26:03, 0.00, 39.00, 31374, 14655, 0, 0.00
2024-09-18 오후 3:26:04, 0.39, 39.00, 31955, 14926, 0, 0.00
2024-09-18 오후 3:26:05, 0.00, 39.00, 32536, 15197, 0, 0.00
2024-09-18 오후 3:26:06, 0.00, 39.00, 33117, 15468, 0, 0.00
2024-09-18 오후 3:26:07, 0.77, 39.00, 33756, 15766, 0, 0.00
2024-09-18 오후 3:26:08, 0.00, 39.00, 34279, 16010, 0, 0.00
2024-09-18 오후 3:26:09, 0.00, 39.00, 34860, 16281, 0, 0.00
2024-09-18 오후 3:26:10, 0.77, 39.00, 35441, 16552, 0, 0.00
2024-09-18 오후 3:26:11, 0.00, 39.00, 36022, 16823, 0, 0.00
2024-09-18 오후 3:26:12, 1.16, 39.00, 36603, 17094, 0, 0.00
2024-09-18 오후 3:26:13, 0.76, 39.00, 37242, 17392, 0, 0.00
2024-09-18 오후 3:26:14, 0.00, 39.00, 37823, 17663, 0, 0.00
2024-09-18 오후 3:26:15, 0.00, 39.00, 38404, 17934, 0, 0.00
2024-09-18 오후 3:26:16, 0.38, 39.00, 38985, 18205, 0, 0.00
2024-09-18 오후 3:26:17, 0.38, 39.00, 39566, 18476, 0, 0.00
2024-09-18 오후 3:26:18, 0.38, 39.00, 40147, 18747, 0, 0.00
2024-09-18 오후 3:26:19, 0.39, 39.00, 40728, 19018, 0, 0.00
2024-09-18 오후 3:26:20, 0.00, 39.00, 41309, 19289, 0, 0.00
2024-09-18 오후 3:26:21, 0.38, 39.00, 41948, 19587, 0, 0.00
2024-09-18 오후 3:26:22, 0.00, 39.00, 42529, 19858, 0, 0.00
2024-09-18 오후 3:26:23, 0.39, 39.00, 43110, 20129, 0, 0.00
2024-09-18 오후 3:26:24, 0.39, 39.00, 43691, 20400, 0, 0.00
2024-09-18 오후 3:26:25, 0.39, 39.00, 44272, 20671, 0, 0.00
2024-09-18 오후 3:26:26, 0.00, 39.00, 44853, 20942, 0, 0.00
2024-09-18 오후 3:26:27, 0.76, 39.00, 45434, 21213, 0, 0.00
2024-09-18 오후 3:26:28, 0.00, 39.00, 46015, 21484, 0, 0.00
2024-09-18 오후 3:26:29, 0.00, 39.00, 46596, 21755, 0, 0.00
2024-09-18 오후 3:26:30, 0.00, 39.00, 47177, 22026, 0, 0.00
2024-09-18 오후 3:26:31, 0.00, 39.00, 47758, 22297, 0, 0.00
2024-09-18 오후 3:26:32, 0.39, 39.00, 48339, 22568, 0, 0.00
2024-09-18 오후 3:26:33, 0.00, 39.00, 48920, 22839, 0, 0.00
2024-09-18 오후 3:26:34, 0.38, 39.00, 49501, 23110, 0, 0.00
2024-09-18 오후 3:26:35, 0.00, 39.00, 50082, 23381, 0, 0.00
2024-09-18 오후 3:26:36, 0.38, 39.00, 50663, 23652, 0, 0.00
2024-09-18 오후 3:26:37, 0.00, 39.00, 51244, 23923, 0, 0.00
2024-09-18 오후 3:26:38, 1.15, 39.00, 51825, 24194, 0, 0.00
2024-09-18 오후 3:26:39, 0.00, 39.00, 52406, 24465, 0, 0.00
2024-09-18 오후 3:26:40, 0.38, 39.00, 53103, 24790, 0, 0.08
2024-09-18 오후 3:26:41, 0.38, 39.00, 53684, 25061, 0, 0.00
2024-09-18 오후 3:26:42, 0.00, 39.00, 54265, 25332, 0, 0.00
2024-09-18 오후 3:26:43, 0.00, 39.00, 54846, 25603, 0, 0.00
2024-09-18 오후 3:26:44, 0.39, 39.00, 55427, 25874, 0, 0.00
2024-09-18 오후 3:26:45, 0.38, 39.00, 56008, 26145, 0, 0.00
2024-09-18 오후 3:26:46, 0.39, 39.00, 56589, 26416, 0, 0.00
2024-09-18 오후 3:26:47, 0.39, 39.00, 57170, 26687, 0, 0.00
2024-09-18 오후 3:26:48, 0.00, 39.00, 57751, 26958, 0, 0.00
2024-09-18 오후 3:26:49, 0.39, 39.00, 58332, 27229, 0, 0.00
2024-09-18 오후 3:26:50, 0.00, 39.00, 58913, 27500, 0, 0.00
2024-09-18 오후 3:26:51, 0.00, 39.00, 59494, 27771, 0, 0.00
2024-09-18 오후 3:26:52, 0.00, 39.00, 60075, 28042, 0, 0.00
2024-09-18 오후 3:26:53, 0.38, 39.00, 60656, 28313, 0, 0.00
2024-09-18 오후 3:26:54, 0.00, 39.00, 61237, 28584, 0, 0.00
2024-09-18 오후 3:26:56, 0.39, 39.00, 61818, 28855, 0, 0.00
2024-09-18 오후 3:26:57, 0.00, 39.00, 62399, 29126, 0, 0.00
2024-09-18 오후 3:26:58, 0.39, 39.00, 62980, 29397, 0, 0.00
2024-09-18 오후 3:26:59, 0.00, 39.00, 63561, 29668, 0, 0.00
2024-09-18 오후 3:27:00, 0.39, 39.00, 64142, 29939, 0, 0.00
2024-09-18 오후 3:27:01, 0.00, 39.00, 64723, 30210, 0, 0.00
2024-09-18 오후 3:27:02, 0.38, 39.00, 65304, 30481, 0, 0.00
2024-09-18 오후 3:27:03, 0.00, 39.00, 65885, 30752, 0, 0.00
2024-09-18 오후 3:27:04, 0.00, 39.00, 66466, 31023, 0, 0.00
2024-09-18 오후 3:27:05, 0.00, 39.00, 67047, 31294, 0, 0.00
2024-09-18 오후 3:27:06, 0.38, 39.00, 67628, 31565, 0, 0.00
2024-09-18 오후 3:27:07, 0.00, 39.00, 68209, 31836, 0, 0.00
2024-09-18 오후 3:27:08, 0.38, 39.00, 68848, 32134, 0, 0.00
2024-09-18 오후 3:27:09, 0.39, 39.00, 69371, 32378, 0, 0.00
2024-09-18 오후 3:27:10, 0.00, 39.00, 69952, 32649, 0, 0.00
2024-09-18 오후 3:27:11, 0.39, 39.00, 70533, 32920, 0, 0.00
2024-09-18 오후 3:27:12, 0.00, 39.00, 71172, 33218, 0, 0.00
2024-09-18 오후 3:27:13, 0.00, 39.00, 71753, 33489, 0, 0.00
2024-09-18 오후 3:27:14, 0.00, 39.00, 72334, 33760, 0, 0.00
2024-09-18 오후 3:27:15, 0.39, 39.00, 72915, 34031, 0, 0.00
2024-09-18 오후 3:27:16, 0.39, 39.00, 73496, 34302, 0, 0.00
2024-09-18 오후 3:27:17, 0.39, 39.00, 74077, 34573, 0, 0.00
2024-09-18 오후 3:27:18, 0.38, 39.00, 74658, 34844, 0, 0.00
2024-09-18 오후 3:27:19, 0.00, 39.00, 75239, 35115, 0, 0.00
2024-09-18 오후 3:27:20, 0.38, 39.00, 75820, 35386, 0, 0.00
2024-09-18 오후 3:27:21, 0.00, 39.00, 76401, 35657, 0, 0.00
2024-09-18 오후 3:27:22, 0.00, 39.00, 76982, 35928, 0, 0.00
2024-09-18 오후 3:27:23, 0.39, 39.00, 77563, 36199, 0, 0.00
2024-09-18 오후 3:27:24, 0.00, 39.00, 78144, 36470, 0, 0.00
2024-09-18 오후 3:27:25, 0.00, 39.00, 78725, 36741, 0, 0.00
2024-09-18 오후 3:27:26, 0.00, 39.00, 79306, 37012, 0, 0.00
2024-09-18 오후 3:27:27, 0.76, 39.00, 79887, 37283, 0, 0.00
2024-09-18 오후 3:27:28, 0.39, 39.00, 80468, 37554, 0, 0.00
2024-09-18 오후 3:27:29, 0.00, 39.00, 81049, 37825, 0, 0.00
2024-09-18 오후 3:27:30, 0.00, 39.00, 81630, 38096, 0, 0.00
2024-09-18 오후 3:27:31, 0.00, 39.00, 82211, 38367, 0, 0.00
2024-09-18 오후 3:27:32, 0.39, 39.00, 82792, 38638, 0, 0.00
2024-09-18 오후 3:27:33, 0.00, 39.00, 83373, 38909, 0, 0.00
2024-09-18 오후 3:27:34, 0.38, 39.00, 83954, 39180, 0, 0.00
2024-09-18 오후 3:27:35, 0.39, 39.00, 84535, 39451, 0, 0.00
2024-09-18 오후 3:27:36, 0.00, 39.00, 85116, 39722, 0, 0.00
2024-09-18 오후 3:27:37, 0.38, 39.00, 85697, 39993, 0, 0.00
2024-09-18 오후 3:27:38, 0.00, 39.00, 86278, 40264, 0, 0.00
2024-09-18 오후 3:27:39, 0.39, 39.00, 86859, 40535, 0, 0.00
2024-09-18 오후 3:27:40, 0.00, 39.00, 87440, 40806, 0, 0.00
2024-09-18 오후 3:27:41, 0.00, 39.00, 88021, 41077, 0, 0.00
2024-09-18 오후 3:27:42, 0.00, 39.00, 88602, 41348, 0, 0.00
2024-09-18 오후 3:27:43, 0.00, 39.00, 89183, 41619, 0, 0.00
