Time, CPU(%), Memory(MB), Sent(Bytes), Received(Bytes), Errors, Average Response Time(ms)
2024-09-17 오후 5:28:49, 0.00, 45.00, 599222, 283828, 0, 0.91
2024-09-17 오후 5:28:50, 0.38, 45.00, 603166, 285695, 0, 1.01
2024-09-17 오후 5:28:51, 0.38, 45.00, 608940, 288431, 0, 1.22
2024-09-17 오후 5:28:52, 0.39, 45.00, 613713, 290693, 0, 1.06
2024-09-17 오후 5:28:53, 0.38, 45.00, 618545, 292983, 0, 1.05
2024-09-17 오후 5:28:54, 1.52, 45.00, 624437, 295775, 0, 0.86
2024-09-17 오후 5:28:55, 0.00, 45.00, 630095, 298457, 0, 1.15
2024-09-17 오후 5:28:56, 0.76, 45.00, 635987, 301249, 0, 1.12
2024-09-17 오후 5:28:57, 0.00, 45.00, 641879, 304041, 0, 1.19
2024-09-17 오후 5:28:58, 0.38, 45.00, 647771, 306833, 0, 1.18
2024-09-17 오후 5:28:59, 0.00, 45.00, 653663, 309625, 0, 1.56
2024-09-17 오후 5:29:00, 0.38, 45.00, 659496, 312389, 0, 1.21
2024-09-17 오후 5:29:02, 0.38, 45.00, 665388, 315181, 0, 1.21
2024-09-17 오후 5:29:03, 0.00, 45.00, 671280, 317973, 0, 1.06
2024-09-17 오후 5:29:04, 0.38, 45.00, 677113, 320737, 0, 1.07
2024-09-17 오후 5:29:05, 0.39, 45.00, 683005, 323529, 0, 0.87
2024-09-17 오후 5:29:06, 0.00, 45.00, 688779, 326265, 0, 1.01
2024-09-17 오후 5:29:07, 0.38, 45.00, 692844, 328191, 0, 0.87
2024-09-17 오후 5:29:08, 0.00, 45.00, 697320, 330311, 0, 1.25
2024-09-17 오후 5:29:09, 0.38, 45.00, 703212, 333103, 0, 1.09
2024-09-17 오후 5:29:10, 0.00, 45.00, 707985, 335365, 0, 1.21
2024-09-17 오후 5:29:11, 0.38, 45.00, 712817, 337655, 0, 1.16
2024-09-17 오후 5:29:12, 0.00, 45.00, 718709, 340447, 0, 1.02
2024-09-17 오후 5:29:13, 0.38, 45.00, 724367, 343129, 0, 1.26
2024-09-17 오후 5:29:14, 0.00, 45.00, 730259, 345921, 0, 1.27
