Time, CPU(%), Memory(MB), Sent(Bytes), Received(Bytes), Errors, Average Response Time(ms)
2024-09-18 오후 1:10:50, 0.00, 41.00, 9048, 4415, 0, 0.15
2024-09-18 오후 1:10:51, 0.75, 41.00, 12107, 5862, 0, 0.13
2024-09-18 오후 1:10:52, 1.91, 41.00, 15048, 7253, 0, 0.04
2024-09-18 오후 1:10:53, 0.00, 41.00, 18047, 8671, 0, 0.02
2024-09-18 오후 1:10:54, 0.00, 41.00, 20988, 10062, 0, 0.00
2024-09-18 오후 1:10:55, 0.38, 41.00, 23929, 11453, 0, 0.00
2024-09-18 오후 1:10:56, 0.38, 41.00, 26929, 12872, 0, 0.00
2024-09-18 오후 1:10:57, 0.77, 41.00, 29870, 14263, 0, 0.00
2024-09-18 오후 1:10:58, 0.38, 41.00, 32870, 15682, 0, 0.00
2024-09-18 오후 1:10:59, 0.77, 41.00, 35811, 17073, 0, 0.00
2024-09-18 오후 1:11:00, 0.77, 41.00, 38752, 18464, 0, 0.00
2024-09-18 오후 1:11:01, 0.77, 41.00, 41693, 19855, 0, 0.02
2024-09-18 오후 1:11:02, 0.00, 41.00, 44692, 21273, 0, 0.00
2024-09-18 오후 1:11:03, 0.00, 41.00, 47633, 22664, 0, 0.00
2024-09-18 오후 1:11:04, 1.15, 41.00, 50574, 24055, 0, 0.00
2024-09-18 오후 1:11:05, 0.38, 41.00, 53515, 25446, 0, 0.00
2024-09-18 오후 1:11:06, 0.00, 41.00, 56574, 26893, 0, 0.00
2024-09-18 오후 1:11:07, 0.00, 41.00, 59515, 28284, 0, 0.04
2024-09-18 오후 1:11:08, 0.00, 41.00, 62514, 29702, 0, 0.02
2024-09-18 오후 1:11:09, 0.38, 41.00, 65455, 31093, 0, 0.04
2024-09-18 오후 1:11:10, 0.38, 41.00, 68396, 32484, 0, 0.04
2024-09-18 오후 1:11:11, 0.77, 41.00, 71337, 33875, 0, 0.06
2024-09-18 오후 1:11:12, 0.00, 41.00, 74337, 35294, 0, 0.04
2024-09-18 오후 1:11:13, 0.39, 41.00, 77219, 36657, 0, 0.00
2024-09-18 오후 1:11:14, 0.00, 41.00, 80219, 38076, 0, 0.04
2024-09-18 오후 1:11:15, 0.39, 41.00, 83160, 39467, 0, 0.00
2024-09-18 오후 1:11:16, 0.00, 41.00, 86160, 40886, 0, 0.00
2024-09-18 오후 1:11:17, 0.38, 41.00, 89159, 42304, 0, 0.00
2024-09-18 오후 1:11:18, 0.00, 41.00, 92100, 43695, 0, 0.00
2024-09-18 오후 1:11:19, 0.77, 41.00, 95041, 45086, 0, 0.00
2024-09-18 오후 1:11:20, 0.00, 41.00, 97982, 46477, 0, 0.00
2024-09-18 오후 1:11:21, 1.53, 41.00, 100982, 47896, 0, 0.00
2024-09-18 오후 1:11:22, 0.38, 41.00, 103923, 49315, 0, 0.02
2024-09-18 오후 1:11:23, 0.00, 41.00, 106923, 50706, 0, 0.00
2024-09-18 오후 1:11:24, 0.00, 41.00, 109922, 52124, 0, 0.00
2024-09-18 오후 1:11:25, 0.38, 41.00, 112863, 53515, 0, 0.00
2024-09-18 오후 1:11:26, 0.00, 41.00, 115804, 54906, 0, 0.00
2024-09-18 오후 1:11:27, 0.00, 41.00, 118745, 56297, 0, 0.00
2024-09-18 오후 1:11:28, 0.76, 41.00, 121804, 57744, 0, 0.00
2024-09-18 오후 1:11:29, 0.38, 41.00, 124745, 59135, 0, 0.00
2024-09-18 오후 1:11:30, 0.39, 41.00, 127744, 60553, 0, 0.02
2024-09-18 오후 1:11:31, 0.00, 41.00, 130685, 61944, 0, 0.00
2024-09-18 오후 1:11:32, 0.00, 41.00, 133626, 63335, 0, 0.00
2024-09-18 오후 1:11:33, 0.38, 41.00, 136567, 64726, 0, 0.00
2024-09-18 오후 1:11:34, 0.77, 41.00, 139508, 66117, 0, 0.00
2024-09-18 오후 1:11:36, 0.38, 41.00, 142449, 67508, 0, 0.00
2024-09-18 오후 1:11:37, 0.00, 41.00, 145508, 68955, 0, 0.04
2024-09-18 오후 1:11:38, 0.00, 41.00, 148507, 70373, 0, 0.00
2024-09-18 오후 1:11:39, 0.00, 41.00, 151448, 71764, 0, 0.00
2024-09-18 오후 1:11:40, 0.38, 41.00, 154389, 73155, 0, 0.00
2024-09-18 오후 1:11:41, 0.00, 41.00, 157330, 74546, 0, 0.00
2024-09-18 오후 1:11:42, 0.38, 41.00, 160271, 75937, 0, 0.00
2024-09-18 오후 1:11:43, 0.00, 41.00, 163212, 77328, 0, 0.00
2024-09-18 오후 1:11:44, 0.39, 41.00, 166153, 78719, 0, 0.00
2024-09-18 오후 1:11:45, 0.00, 41.00, 169094, 80110, 0, 0.00
2024-09-18 오후 1:11:46, 0.38, 41.00, 172212, 81585, 0, 0.00
2024-09-18 오후 1:11:47, 0.00, 41.00, 175153, 82976, 0, 0.00
2024-09-18 오후 1:11:48, 0.38, 41.00, 178094, 84367, 0, 0.00
2024-09-18 오후 1:11:49, 0.38, 41.00, 181035, 85758, 0, 0.00
2024-09-18 오후 1:11:50, 0.00, 41.00, 184094, 87205, 0, 0.04
2024-09-18 오후 1:11:51, 0.00, 41.00, 187094, 88624, 0, 0.02
2024-09-18 오후 1:11:52, 0.77, 41.00, 190035, 90015, 0, 0.00
2024-09-18 오후 1:11:53, 0.77, 41.00, 193035, 91434, 0, 0.00
2024-09-18 오후 1:11:54, 0.38, 41.00, 195976, 92825, 0, 0.00
2024-09-18 오후 1:11:55, 0.00, 41.00, 198917, 94216, 0, 0.00
2024-09-18 오후 1:11:56, 0.39, 41.00, 201858, 95607, 0, 0.00
2024-09-18 오후 1:11:57, 0.00, 41.00, 204858, 97026, 0, 0.00
2024-09-18 오후 1:11:58, 0.00, 41.00, 207858, 98445, 0, 0.02
2024-09-18 오후 1:11:59, 0.77, 41.00, 210799, 99836, 0, 0.00
2024-09-18 오후 1:12:00, 0.38, 41.00, 213740, 101227, 0, 0.00
2024-09-18 오후 1:12:01, 0.38, 41.00, 216681, 102618, 0, 0.00
2024-09-18 오후 1:12:02, 0.00, 41.00, 219681, 104037, 0, 0.00
2024-09-18 오후 1:12:03, 0.38, 41.00, 222622, 105428, 0, 0.04
2024-09-18 오후 1:12:04, 0.00, 41.00, 225622, 106847, 0, 0.04
