Timestamp,ClientID,Latency(ms)
10:48.9,1,4.3813
10:48.9,2,3.9434
10:49.0,3,3.7204
10:49.1,4,3.7511
10:49.1,5,3.7028
10:49.2,6,3.889
10:49.3,7,4.0567
10:49.3,8,3.8349
10:49.4,9,4.0816
10:49.4,10,3.6103
10:49.5,11,3.932
10:49.6,12,3.3575
10:49.6,13,3.9777
10:49.7,14,3.2875
10:49.8,15,3.7831
10:49.8,16,3.4461
10:49.9,17,3.7592
10:49.9,1,0.1745
10:49.9,18,3.7429
10:50.0,2,0.1522
10:50.0,19,3.942
10:50.0,3,0.1066
10:50.1,20,3.6248
10:50.1,4,0.115
10:50.1,21,4.6404
10:50.1,5,0.1059
10:50.2,22,3.6565
10:50.2,6,0.108
10:50.3,23,4.18
10:50.3,7,0.1096
10:50.3,24,3.6441
10:50.3,8,0.1109
10:50.4,25,3.6098
10:50.4,9,0.109
10:50.4,26,3.8621
10:50.4,10,0.1314
10:50.5,27,4.1581
10:50.5,11,0.1287
10:50.6,28,4.0402
10:50.6,12,0.1532
10:50.6,29,3.7959
10:50.6,13,0.0963
10:50.7,30,3.7856
10:50.7,14,0.0626
10:50.8,31,3.9632
10:50.8,15,0.1115
10:50.8,32,3.9663
10:50.8,16,0.1052
10:50.9,33,4.098
10:50.9,17,0.0765
10:50.9,1,0.1112
10:50.9,34,4.4382
10:50.9,18,0.0846
10:51.0,2,0.1088
10:51.0,35,3.9014
10:51.0,19,0.1012
10:51.0,3,0.1078
10:51.1,36,4.1181
10:51.1,20,0.0865
10:51.1,4,0.1434
10:51.1,37,5.4526
10:51.1,21,0.068
10:51.1,5,0.1054
10:51.2,38,4.0219
10:51.2,22,0.0891
10:51.2,6,0.1092
10:51.3,39,6.0122
10:51.3,23,0.0882
10:51.3,7,0.1578
10:51.3,40,4.1496
10:51.3,24,0.0779
10:51.3,8,0.127
10:51.4,41,3.6763
10:51.4,25,0.0773
10:51.4,9,0.1147
10:51.4,42,3.9078
10:51.4,26,0.0746
10:51.5,10,0.1124
10:51.5,43,3.9464
10:51.5,27,0.07
10:51.5,11,0.1164
10:51.6,44,4.0021
10:51.6,28,0.0843
10:51.6,12,0.123
10:51.6,45,3.8636
10:51.6,29,0.1083
10:51.6,13,0.1042
10:51.7,46,3.9767
10:51.7,30,0.0828
10:51.7,14,0.1632
10:51.7,47,3.984
10:51.8,31,0.0726
10:51.8,15,0.1403
10:51.8,48,3.4685
10:51.8,32,0.0891
10:51.8,16,0.1002
10:51.9,49,4.1006
10:51.9,17,0.1561
10:51.9,33,0.2208
10:51.9,1,0.1259
10:51.9,50,3.9405
10:51.9,34,0.0688
10:52.0,18,0.1077
10:52.0,2,0.0625
10:52.0,35,0.0825
10:52.0,19,0.1024
10:52.0,3,0.1059
10:52.1,36,0.0539
10:52.1,20,0.0907
10:52.1,4,0.1372
10:52.1,37,0.2286
10:52.1,21,0.231
10:52.2,5,0.1542
10:52.2,38,0.1048
10:52.2,22,0.0797
10:52.2,6,0.1123
10:52.3,39,0.1839
10:52.3,23,0.119
10:52.3,7,0.2168
10:52.3,40,0.1442
10:52.3,24,0.1943
10:52.3,8,0.1464
10:52.4,41,0.1067
10:52.4,25,0.0917
10:52.4,9,0.0673
10:52.5,42,0.2805
10:52.5,26,0.265
10:52.5,10,0.1709
10:52.5,43,0.0773
10:52.5,27,0.0742
10:52.5,11,0.1705
10:52.6,44,0.1338
10:52.6,28,0.0749
10:52.6,12,0.1414
10:52.6,45,0.1315
10:52.6,29,0.1096
10:52.7,13,0.1202
10:52.7,46,0.3475
10:52.7,30,0.3584
10:52.7,14,0.1224
10:52.7,47,0.0822
10:52.8,31,0.0687
10:52.8,15,0.1371
10:52.8,48,0.0784
10:52.8,32,0.0968
10:52.8,16,0.1943
10:52.9,49,0.1269
10:52.9,33,0.141
10:52.9,17,0.2136
10:52.9,1,0.1184
10:52.9,50,0.1159
10:52.9,34,0.1107
10:53.0,18,0.1296
10:53.0,2,0.0739
10:53.0,35,0.1574
10:53.0,19,0.1428
10:53.0,3,0.0952
10:53.1,36,0.1001
10:53.1,20,0.1135
10:53.1,4,0.15
10:53.2,37,0.2923
10:53.2,21,0.2486
10:53.2,5,0.1182
10:53.2,38,0.1156
10:53.2,22,0.0961
10:53.2,6,0.1071
10:53.3,39,0.0811
10:53.3,23,0.1241
10:53.3,7,0.1193
10:53.3,40,0.0991
10:53.3,24,0.0738
10:53.4,8,0.1182
10:53.4,41,0.0609
10:53.4,25,0.0703
10:53.4,9,0.1085
10:53.5,42,0.1899
10:53.5,26,0.212
10:53.5,10,0.1241
10:53.5,43,0.0835
10:53.5,27,0.1742
10:53.5,11,0.1381
10:53.6,44,0.1296
10:53.6,28,0.1065
10:53.6,12,0.1252
10:53.6,45,0.1368
10:53.7,29,0.1009
10:53.7,13,0.1465
10:53.7,46,0.1357
10:53.7,30,0.0982
10:53.7,14,0.1329
10:53.8,47,0.1155
10:53.8,31,0.0657
10:53.8,15,0.1345
10:53.8,32,0.1844
10:53.8,48,0.2424
10:53.9,16,0.109
10:53.9,49,0.0965
10:53.9,17,0.1487
10:53.9,33,0.1228
10:53.9,1,0.1993
10:53.9,50,0.0965
10:54.0,34,0.0878
10:54.0,18,0.1093
10:54.0,2,0.0707
10:54.0,35,0.0827
10:54.0,19,0.1411
10:54.1,3,0.1233
10:54.1,36,0.1984
10:54.1,20,0.1152
10:54.1,4,0.1004
10:54.2,21,0.129
10:54.2,37,0.1914
10:54.2,5,0.1281
10:54.2,38,0.0751
10:54.2,22,0.2106
10:54.2,6,0.169
10:54.3,39,0.1164
10:54.3,23,0.243
10:54.3,7,0.1575
10:54.3,40,0.1137
10:54.3,24,0.0887
10:54.4,8,0.1366
10:54.4,41,0.074
10:54.4,25,0.1347
10:54.4,9,0.1134
10:54.5,42,0.1026
10:54.5,26,0.0932
10:54.5,10,0.1485
10:54.5,43,0.1119
10:54.5,27,0.0794
10:54.6,11,0.1316
10:54.6,44,0.1078
10:54.6,28,0.108
10:54.6,12,0.1036
10:54.6,45,0.0825
10:54.7,29,0.1467
10:54.7,13,0.112
10:54.7,30,0.0796
10:54.7,46,0.2482
10:54.7,14,0.1094
10:54.8,47,0.0762
10:54.8,31,0.1271
10:54.8,15,0.1328
10:54.8,48,0.0854
10:54.8,32,0.0714
10:54.9,16,0.1588
10:54.9,49,0.1299
10:54.9,33,0.13
10:54.9,17,0.0888
10:54.9,1,0.0909
10:55.0,50,0.2548
10:55.0,34,0.0672
10:55.0,18,0.1359
10:55.0,2,0.054
10:55.0,35,0.0436
10:55.0,19,0.108
10:55.1,3,0.1715
10:55.1,36,0.1615
10:55.1,20,0.0774
10:55.1,4,0.1367
10:55.2,21,0.1497
10:55.2,37,0.1592
10:55.2,5,0.139
10:55.2,38,0.0675
10:55.2,22,0.0946
10:55.2,6,0.1096
10:55.3,39,0.1091
