Time, CPU(%), Memory(MB), Sent(Bytes), Received(Bytes), Errors, Average Response Time(ms)
2024-09-17 오후 8:41:04, 0.38, 37.00, 41483, 19349, 0, 1.30
2024-09-17 오후 8:41:05, 0.00, 37.00, 42064, 19620, 0, 1.30
2024-09-17 오후 8:41:06, 0.38, 37.00, 42471, 19810, 0, 1.14
2024-09-17 오후 8:41:07, 0.00, 37.00, 43052, 20081, 0, 0.70
2024-09-17 오후 8:41:08, 0.38, 37.00, 43575, 20325, 0, 1.89
2024-09-17 오후 8:41:09, 0.38, 37.00, 44156, 20596, 0, 1.30
2024-09-17 오후 8:41:10, 0.00, 37.00, 44737, 20867, 0, 1.20
2024-09-17 오후 8:41:11, 0.38, 37.00, 45318, 21138, 0, 1.20
2024-09-17 오후 8:41:12, 0.00, 37.00, 45899, 21409, 0, 1.10
2024-09-17 오후 8:41:13, 0.39, 37.00, 46480, 21680, 0, 1.30
2024-09-17 오후 8:41:15, 0.38, 37.00, 47061, 21951, 0, 1.30
2024-09-17 오후 8:41:16, 0.38, 37.00, 47583, 22194, 0, 1.44
2024-09-17 오후 8:41:17, 0.38, 37.00, 48164, 22465, 0, 1.10
2024-09-17 오후 8:41:18, 0.00, 37.00, 48745, 22736, 0, 1.20
2024-09-17 오후 8:41:19, 0.76, 37.00, 49094, 22899, 0, 0.67
2024-09-17 오후 8:41:20, 0.38, 37.00, 49675, 23170, 0, 1.10
2024-09-17 오후 8:41:21, 0.39, 37.00, 50198, 23414, 0, 1.22
2024-09-17 오후 8:41:22, 0.38, 37.00, 50779, 23685, 0, 1.40
2024-09-17 오후 8:41:23, 0.39, 37.00, 51360, 23956, 0, 1.10
2024-09-17 오후 8:41:24, 0.00, 37.00, 51767, 24146, 0, 1.14
2024-09-17 오후 8:41:25, 0.38, 37.00, 52290, 24390, 0, 1.33
2024-09-17 오후 8:41:26, 0.38, 37.00, 52871, 24661, 0, 1.10
2024-09-17 오후 8:41:27, 0.38, 37.00, 53452, 24932, 0, 1.30
2024-09-17 오후 8:41:28, 0.38, 37.00, 54033, 25203, 0, 1.20
2024-09-17 오후 8:41:29, 0.00, 37.00, 54614, 25474, 0, 1.30
2024-09-17 오후 8:41:30, 0.38, 37.00, 55195, 25745, 0, 1.30
2024-09-17 오후 8:41:31, 0.38, 37.00, 55776, 26016, 0, 1.20
2024-09-17 오후 8:41:32, 0.00, 37.00, 56357, 26287, 0, 1.20
2024-09-17 오후 8:41:33, 0.38, 37.00, 56879, 26530, 0, 1.22
2024-09-17 오후 8:41:34, 0.00, 37.00, 57460, 26801, 0, 1.20
2024-09-17 오후 8:41:35, 0.38, 37.00, 58041, 27072, 0, 1.20
2024-09-17 오후 8:41:36, 0.38, 37.00, 58390, 27235, 0, 0.50
2024-09-17 오후 8:41:37, 0.00, 37.00, 58913, 27479, 0, 1.22
2024-09-17 오후 8:41:38, 0.38, 37.00, 59494, 27750, 0, 1.00
2024-09-17 오후 8:41:39, 0.38, 37.00, 60075, 28021, 0, 1.40
2024-09-17 오후 8:41:40, 0.00, 37.00, 60656, 28292, 0, 1.70
