Time, CPU(%), Memory(MB), Sent(Bytes), Received(Bytes), Errors, Average Response Time(ms)
2024-09-17 오후 10:43:34, 0.38, 42.00, 439696, 208343, 0, 0.57
2024-09-17 오후 10:43:35, 0.38, 42.00, 445293, 210995, 0, 0.62
2024-09-17 오후 10:43:36, 0.77, 42.00, 451008, 213703, 0, 0.60
2024-09-17 오후 10:43:37, 0.00, 42.00, 456782, 216439, 0, 0.70
2024-09-17 오후 10:43:38, 0.77, 42.00, 462261, 219035, 0, 0.48
2024-09-17 오후 10:43:39, 0.38, 42.00, 467799, 221659, 0, 0.59
2024-09-17 오후 10:43:40, 0.76, 42.00, 473454, 224338, 0, 0.56
2024-09-17 오후 10:43:41, 0.00, 42.00, 479051, 226990, 0, 0.60
2024-09-17 오후 10:43:42, 0.77, 42.00, 484648, 229642, 0, 0.62
2024-09-17 오후 10:43:43, 0.00, 42.00, 490304, 232322, 0, 0.67
2024-09-17 오후 10:43:44, 0.76, 42.00, 495842, 234946, 0, 0.88
2024-09-17 오후 10:43:45, 0.00, 42.00, 500029, 237015, 0, 17.08
2024-09-17 오후 10:43:47, 0.80, 42.00, 502147, 238046, 0, 59.64
2024-09-17 오후 10:43:48, 0.27, 42.00, 508216, 240810, 0, 51.44
2024-09-17 오후 10:43:49, 0.00, 42.00, 513990, 243546, 0, 2.57
2024-09-17 오후 10:43:50, 0.00, 42.00, 519882, 246338, 0, 1.43
2024-09-17 오후 10:43:51, 1.48, 42.00, 525774, 249130, 0, 1.82
2024-09-17 오후 10:43:52, 0.37, 42.00, 531607, 251894, 0, 2.16
2024-09-17 오후 10:43:53, 0.38, 42.00, 537499, 254686, 0, 0.11
2024-09-17 오후 10:43:54, 0.00, 42.00, 543332, 257450, 0, 0.07
2024-09-17 오후 10:43:55, 0.75, 42.00, 549224, 260242, 0, 15.35
2024-09-17 오후 10:43:56, 0.00, 42.00, 555116, 263034, 0, 1.46
2024-09-17 오후 10:43:57, 0.76, 42.00, 561008, 265826, 0, 0.05
2024-09-17 오후 10:43:58, 0.38, 42.00, 566900, 268618, 0, 0.13
2024-09-17 오후 10:43:59, 0.39, 42.00, 572792, 271410, 0, 0.18
