Time, CPU(%), Memory(MB), Sent(Bytes), Received(Bytes), Errors, Average Response Time(ms)
2024-09-17 오후 7:40:04, 0.00, 41.00, 45509, 21484, 0, 0.20
2024-09-17 오후 7:40:06, 1.12, 41.00, 48391, 22847, 0, 0.31
2024-09-17 오후 7:40:07, 1.15, 41.00, 51155, 24154, 0, 0.36
2024-09-17 오후 7:40:08, 0.38, 41.00, 53978, 25489, 0, 0.35
2024-09-17 오후 7:40:09, 0.00, 41.00, 56802, 26825, 0, 0.38
2024-09-17 오후 7:40:10, 0.38, 41.00, 59509, 28106, 0, 0.37
2024-09-17 오후 7:40:11, 0.00, 41.00, 62156, 29358, 0, 0.29
2024-09-17 오후 7:40:12, 0.00, 41.00, 64744, 30582, 0, 0.39
2024-09-17 오후 7:40:13, 0.38, 41.00, 67450, 31862, 0, 0.41
2024-09-17 오후 7:40:14, 0.00, 41.00, 70273, 33197, 0, 0.29
2024-09-17 오후 7:40:15, 0.38, 41.00, 72980, 34478, 0, 0.33
2024-09-17 오후 7:40:16, 0.38, 41.00, 75745, 35786, 0, 0.45
2024-09-17 오후 7:40:17, 0.38, 41.00, 78627, 37149, 0, 0.31
2024-09-17 오후 7:40:18, 0.76, 41.00, 81568, 38540, 0, 0.32
2024-09-17 오후 7:40:19, 0.77, 41.00, 84391, 39875, 0, 0.29
2024-09-17 오후 7:40:20, 0.00, 41.00, 87096, 41154, 0, 0.41
2024-09-17 오후 7:40:21, 0.77, 41.00, 89978, 42517, 0, 0.39
2024-09-17 오후 7:40:22, 0.38, 41.00, 92683, 43796, 0, 0.33
2024-09-17 오후 7:40:23, 0.38, 41.00, 95447, 45103, 0, 0.32
2024-09-17 오후 7:40:24, 0.76, 41.00, 98211, 46410, 0, 0.32
2024-09-17 오후 7:40:25, 0.00, 41.00, 101034, 47745, 0, 0.35
2024-09-17 오후 7:40:26, 0.77, 41.00, 103858, 49081, 0, 0.31
2024-09-17 오후 7:40:27, 0.38, 41.00, 106565, 50362, 0, 0.37
2024-09-17 오후 7:40:28, 0.76, 41.00, 109212, 51614, 0, 0.36
2024-09-17 오후 7:40:29, 0.38, 41.00, 111859, 52866, 0, 0.36
2024-09-17 오후 7:40:30, 0.38, 41.00, 114624, 54174, 0, 0.38
2024-09-17 오후 7:40:31, 0.77, 41.00, 117329, 55453, 0, 0.41
2024-09-17 오후 7:40:32, 0.38, 41.00, 120095, 56762, 0, 0.43
2024-09-17 오후 7:40:33, 0.00, 41.00, 122860, 58070, 0, 0.45
2024-09-17 오후 7:40:34, 0.38, 41.00, 125742, 59433, 0, 0.43
2024-09-17 오후 7:40:35, 0.00, 41.00, 128624, 60796, 0, 0.39
2024-09-17 오후 7:40:36, 1.91, 41.00, 131447, 62131, 0, 0.38
2024-09-17 오후 7:40:37, 0.00, 41.00, 134211, 63466, 0, 0.36
2024-09-17 오후 7:40:38, 1.14, 41.00, 137034, 64773, 0, 0.42
2024-09-17 오후 7:40:39, 0.00, 41.00, 139798, 66080, 0, 0.57
2024-09-17 오후 7:40:40, 0.38, 41.00, 142562, 67387, 0, 0.36
2024-09-17 오후 7:40:41, 0.00, 41.00, 145267, 68666, 0, 0.41
2024-09-17 오후 7:40:42, 0.38, 41.00, 148208, 70057, 0, 0.36
2024-09-17 오후 7:40:43, 0.38, 41.00, 150914, 71337, 0, 0.39
2024-09-17 오후 7:40:44, 0.00, 41.00, 153796, 72700, 0, 0.43
