Time, CPU(%), Memory(MB), Sent(Bytes), Received(Bytes), Errors, Average Response Time(ms)
2024-09-18 오전 12:08:41, 0.00, 39.00, 41251, 19241, 0, 0.00
2024-09-18 오전 12:08:42, 0.39, 39.00, 41832, 19512, 0, 0.00
2024-09-18 오전 12:08:43, 0.00, 39.00, 42296, 19728, 0, 0.00
2024-09-18 오전 12:08:44, 0.39, 39.00, 42819, 19972, 0, 0.00
2024-09-18 오전 12:08:45, 0.39, 39.00, 43342, 20216, 0, 0.00
2024-09-18 오전 12:08:46, 0.38, 39.00, 43865, 20460, 0, 0.00
2024-09-18 오전 12:08:47, 0.38, 39.00, 44446, 20731, 0, 0.00
2024-09-18 오전 12:08:48, 0.38, 39.00, 44911, 20948, 0, 0.00
2024-09-18 오전 12:08:49, 0.39, 39.00, 45434, 21192, 0, 0.00
2024-09-18 오전 12:08:50, 0.38, 39.00, 45899, 21409, 0, 0.00
2024-09-18 오전 12:08:51, 0.39, 39.00, 46480, 21680, 0, 0.00
2024-09-18 오전 12:08:52, 0.00, 39.00, 47061, 21951, 0, 0.00
2024-09-18 오전 12:08:53, 0.39, 39.00, 47642, 22222, 0, 0.00
2024-09-18 오전 12:08:54, 0.00, 39.00, 48223, 22493, 0, 0.00
2024-09-18 오전 12:08:55, 0.77, 39.00, 48804, 22764, 0, 0.00
2024-09-18 오전 12:08:56, 0.00, 39.00, 49385, 23035, 0, 0.00
2024-09-18 오전 12:08:57, 0.00, 39.00, 49966, 23306, 0, 0.00
2024-09-18 오전 12:08:58, 0.38, 39.00, 50430, 23522, 0, 0.00
2024-09-18 오전 12:08:59, 0.00, 39.00, 50953, 23766, 0, 0.00
2024-09-18 오전 12:09:00, 0.00, 39.00, 51476, 24010, 0, 0.00
2024-09-18 오전 12:09:01, 0.00, 39.00, 51999, 24254, 0, 0.00
2024-09-18 오전 12:09:02, 0.38, 39.00, 52580, 24525, 0, 0.00
2024-09-18 오전 12:09:03, 0.00, 39.00, 53103, 24769, 0, 0.00
2024-09-18 오전 12:09:04, 0.38, 39.00, 53626, 25013, 0, 0.00
2024-09-18 오전 12:09:05, 0.39, 39.00, 54033, 25203, 0, 0.00
2024-09-18 오전 12:09:06, 0.00, 39.00, 54614, 25474, 0, 0.00
2024-09-18 오전 12:09:07, 0.39, 39.00, 55195, 25745, 0, 0.00
2024-09-18 오전 12:09:08, 0.00, 39.00, 55776, 26016, 0, 0.00
2024-09-18 오전 12:09:10, 0.38, 39.00, 56357, 26287, 0, 0.00
2024-09-18 오전 12:09:11, 0.00, 39.00, 56938, 26558, 0, 0.00
2024-09-18 오전 12:09:12, 0.39, 39.00, 57519, 26829, 0, 0.00
2024-09-18 오전 12:09:13, 0.39, 39.00, 58100, 27100, 0, 0.00
2024-09-18 오전 12:09:14, 0.00, 39.00, 58622, 27343, 0, 0.00
2024-09-18 오전 12:09:15, 0.38, 39.00, 59145, 27587, 0, 0.00
2024-09-18 오전 12:09:16, 0.00, 39.00, 59668, 27831, 0, 0.00
2024-09-18 오전 12:09:17, 0.38, 39.00, 60191, 28075, 0, 0.00
2024-09-18 오전 12:09:18, 0.00, 39.00, 60714, 28319, 0, 0.00
2024-09-18 오전 12:09:19, 0.39, 39.00, 61295, 28590, 0, 0.00
2024-09-18 오전 12:09:20, 0.39, 39.00, 61760, 28807, 0, 0.00
2024-09-18 오전 12:09:21, 0.00, 39.00, 62283, 29051, 0, 0.00
2024-09-18 오전 12:09:22, 0.38, 39.00, 62748, 29268, 0, 0.00
2024-09-18 오전 12:09:23, 0.39, 39.00, 63329, 29539, 0, 0.00
2024-09-18 오전 12:09:24, 0.00, 39.00, 63910, 29810, 0, 0.00
2024-09-18 오전 12:09:25, 0.39, 39.00, 64491, 30081, 0, 0.00
2024-09-18 오전 12:09:26, 0.00, 39.00, 65072, 30352, 0, 0.00
2024-09-18 오전 12:09:27, 0.38, 39.00, 65653, 30623, 0, 0.00
2024-09-18 오전 12:09:28, 0.39, 39.00, 66234, 30894, 0, 0.00
2024-09-18 오전 12:09:29, 0.00, 39.00, 66815, 31165, 0, 0.00
2024-09-18 오전 12:09:30, 0.38, 39.00, 67279, 31381, 0, 0.00
2024-09-18 오전 12:09:31, 0.39, 39.00, 67802, 31625, 0, 0.00
2024-09-18 오전 12:09:32, 0.00, 39.00, 68325, 31869, 0, 0.00
2024-09-18 오전 12:09:33, 0.38, 39.00, 68848, 32113, 0, 0.00
2024-09-18 오전 12:09:34, 0.00, 39.00, 69429, 32384, 0, 0.00
2024-09-18 오전 12:09:35, 0.00, 39.00, 69894, 32601, 0, 0.00
2024-09-18 오전 12:09:36, 0.39, 39.00, 70417, 32845, 0, 0.00
2024-09-18 오전 12:09:37, 0.39, 39.00, 70882, 33062, 0, 0.00
2024-09-18 오전 12:09:38, 0.00, 39.00, 71463, 33333, 0, 0.00
2024-09-18 오전 12:09:39, 0.39, 39.00, 72044, 33604, 0, 0.00
2024-09-18 오전 12:09:40, 0.39, 39.00, 72625, 33875, 0, 0.00
2024-09-18 오전 12:09:41, 0.00, 39.00, 73206, 34146, 0, 0.00
2024-09-18 오전 12:09:42, 0.38, 39.00, 73787, 34417, 0, 0.00
2024-09-18 오전 12:09:43, 0.00, 39.00, 74368, 34688, 0, 0.00
2024-09-18 오전 12:09:44, 0.00, 39.00, 74949, 34959, 0, 0.00
2024-09-18 오전 12:09:45, 0.39, 39.00, 75413, 35175, 0, 0.00
2024-09-18 오전 12:09:46, 0.00, 39.00, 75936, 35419, 0, 0.00
2024-09-18 오전 12:09:47, 0.38, 39.00, 76459, 35663, 0, 0.00
2024-09-18 오전 12:09:48, 0.00, 39.00, 76982, 35907, 0, 0.00
2024-09-18 오전 12:09:49, 0.00, 39.00, 77505, 36151, 0, 0.00
2024-09-18 오전 12:09:50, 0.39, 39.00, 78028, 36395, 0, 0.00
2024-09-18 오전 12:09:51, 0.00, 39.00, 78551, 36639, 0, 0.00
2024-09-18 오전 12:09:52, 0.38, 39.00, 79016, 36856, 0, 0.00
2024-09-18 오전 12:09:53, 0.39, 39.00, 79597, 37127, 0, 0.00
2024-09-18 오전 12:09:54, 0.00, 39.00, 80178, 37398, 0, 0.00
2024-09-18 오전 12:09:55, 0.39, 39.00, 80759, 37669, 0, 0.00
2024-09-18 오전 12:09:56, 0.39, 39.00, 81340, 37940, 0, 0.10
2024-09-18 오전 12:09:57, 0.00, 39.00, 81921, 38211, 0, 0.20
2024-09-18 오전 12:09:58, 0.39, 39.00, 82502, 38482, 0, 0.10
2024-09-18 오전 12:09:59, 0.38, 39.00, 83083, 38753, 0, 0.10
2024-09-18 오전 12:10:00, 0.38, 39.00, 83547, 38969, 0, 0.00
2024-09-18 오전 12:10:01, 0.38, 39.00, 84070, 39213, 0, 0.22
2024-09-18 오전 12:10:02, 0.39, 39.00, 84593, 39457, 0, 0.11
2024-09-18 오전 12:10:03, 0.00, 39.00, 85116, 39701, 0, 0.22
2024-09-18 오전 12:10:04, 0.38, 39.00, 85697, 39972, 0, 0.20
2024-09-18 오전 12:10:05, 0.00, 39.00, 86162, 40189, 0, 0.00
2024-09-18 오전 12:10:06, 0.38, 39.00, 86685, 40433, 0, 0.11
2024-09-18 오전 12:10:07, 0.00, 39.00, 87150, 40650, 0, 0.25
