Time, CPU(%), Memory(MB), Sent(Bytes), Received(Bytes), Errors, Average Response Time(ms)
2024-09-18 오후 12:20:59, 0.39, 42.00, 473395, 224602, 0, 0.01
2024-09-18 오후 12:21:00, 0.38, 42.00, 479405, 227450, 0, 0.01
2024-09-18 오후 12:21:01, 0.00, 42.00, 485297, 230242, 0, 0.06
2024-09-18 오후 12:21:02, 0.38, 42.00, 491307, 233090, 0, 0.02
2024-09-18 오후 12:21:03, 0.00, 42.00, 497199, 235882, 0, 0.03
2024-09-18 오후 12:21:04, 0.38, 42.00, 503386, 238814, 0, 0.03
2024-09-18 오후 12:21:05, 0.38, 42.00, 509278, 241606, 0, 0.01
2024-09-18 오후 12:21:06, 0.76, 42.00, 515170, 244398, 0, 0.01
2024-09-18 오후 12:21:07, 0.00, 42.00, 521062, 247190, 0, 0.01
2024-09-18 오후 12:21:08, 0.00, 42.00, 526954, 249982, 0, 0.03
2024-09-18 오후 12:21:09, 0.77, 42.00, 532846, 252774, 0, 0.03
2024-09-18 오후 12:21:10, 0.00, 42.00, 538914, 255649, 0, 0.04
2024-09-18 오후 12:21:11, 0.38, 42.00, 544806, 258441, 0, 0.03
2024-09-18 오후 12:21:12, 0.38, 42.00, 550698, 261233, 0, 0.03
2024-09-18 오후 12:21:13, 0.00, 42.00, 556590, 264025, 0, 0.04
2024-09-18 오후 12:21:14, 0.38, 42.00, 562482, 266817, 0, 0.03
2024-09-18 오후 12:21:15, 0.38, 42.00, 568374, 269609, 0, 0.02
2024-09-18 오후 12:21:16, 0.00, 42.00, 574914, 272708, 0, 0.07
2024-09-18 오후 12:21:17, 0.38, 42.00, 580806, 275500, 0, 0.08
2024-09-18 오후 12:21:18, 0.00, 42.00, 586757, 278320, 0, 0.06
2024-09-18 오후 12:21:19, 0.00, 42.00, 592649, 281112, 0, 0.02
2024-09-18 오후 12:21:20, 0.38, 42.00, 598600, 283932, 0, 0.03
2024-09-18 오후 12:21:21, 0.38, 42.00, 604492, 286724, 0, 0.00
2024-09-18 오후 12:21:22, 0.00, 42.00, 610384, 289516, 0, 0.01
2024-09-18 오후 12:21:23, 0.00, 42.00, 616276, 292308, 0, 0.02
2024-09-18 오후 12:21:24, 0.00, 42.00, 622168, 295100, 0, 0.02
2024-09-18 오후 12:21:26, 0.38, 42.00, 628413, 298059, 0, 0.01
2024-09-18 오후 12:21:27, 0.38, 42.00, 634305, 300851, 0, 0.04
