Time, CPU(%), Memory(MB), Sent(Bytes), Received(Bytes), Errors, Average Response Time(ms)
2024-09-17 오후 11:17:05, 0.00, 42.00, 5578, 2633, 0, 0.33
2024-09-17 오후 11:17:06, 0.73, 42.00, 8519, 4024, 0, 0.26
2024-09-17 오후 11:17:08, 0.38, 42.00, 11342, 5359, 0, 0.33
2024-09-17 오후 11:17:09, 0.38, 42.00, 14047, 6638, 0, 0.50
2024-09-17 오후 11:17:10, 1.12, 42.00, 16281, 7778, 0, 21.11
2024-09-17 오후 11:17:11, 1.04, 42.00, 19458, 9197, 0, 48.69
2024-09-17 오후 11:17:12, 0.76, 42.00, 22281, 10532, 0, 9.21
2024-09-17 오후 11:17:13, 0.00, 42.00, 25222, 11923, 0, 1.36
2024-09-17 오후 11:17:15, 0.38, 42.00, 28163, 13314, 0, 2.60
2024-09-17 오후 11:17:16, 0.00, 42.00, 31045, 14677, 0, 1.90
2024-09-17 오후 11:17:17, 1.52, 42.00, 33986, 16068, 0, 1.72
2024-09-17 오후 11:17:18, 1.16, 42.00, 36868, 17431, 0, 1.90
2024-09-17 오후 11:17:19, 0.39, 42.00, 39809, 18822, 0, 2.08
2024-09-17 오후 11:17:20, 0.38, 42.00, 42750, 20213, 0, 2.30
2024-09-17 오후 11:17:21, 0.00, 42.00, 45691, 21604, 0, 1.82
2024-09-17 오후 11:17:22, 1.14, 42.00, 48632, 22995, 0, 2.50
2024-09-17 오후 11:17:23, 0.77, 42.00, 51573, 24386, 0, 2.04
2024-09-17 오후 11:17:24, 0.00, 42.00, 54455, 25749, 0, 1.90
2024-09-17 오후 11:17:25, 0.76, 42.00, 56690, 26806, 0, 1.61
2024-09-17 오후 11:17:26, 0.00, 42.00, 58338, 27586, 0, 2.14
2024-09-17 오후 11:17:27, 0.76, 42.00, 60691, 28699, 0, 2.33
2024-09-17 오후 11:17:28, 0.38, 42.00, 63632, 30090, 0, 1.74
2024-09-17 오후 11:17:29, 0.76, 42.00, 66573, 31481, 0, 2.48
2024-09-17 오후 11:17:30, 0.38, 42.00, 69337, 32788, 0, 1.96
2024-09-17 오후 11:17:31, 0.38, 42.00, 72278, 34179, 0, 2.52
2024-09-17 오후 11:17:32, 0.38, 42.00, 75160, 35542, 0, 1.94
2024-09-17 오후 11:17:33, 0.00, 42.00, 78101, 36933, 0, 1.78
2024-09-17 오후 11:17:34, 0.76, 42.00, 81042, 38324, 0, 2.38
2024-09-17 오후 11:17:35, 0.38, 42.00, 83924, 39687, 0, 1.92
2024-09-17 오후 11:17:36, 0.00, 42.00, 86865, 41078, 0, 1.82
2024-09-17 오후 11:17:37, 0.38, 42.00, 89806, 42469, 0, 1.98
2024-09-17 오후 11:17:38, 1.14, 42.00, 92747, 43860, 0, 2.12
2024-09-17 오후 11:17:39, 0.39, 42.00, 95688, 45251, 0, 2.08
2024-09-17 오후 11:17:40, 0.38, 42.00, 98629, 46642, 0, 1.84
2024-09-17 오후 11:17:41, 0.38, 42.00, 101570, 48033, 0, 2.26
2024-09-17 오후 11:17:42, 0.00, 42.00, 104040, 49201, 0, 1.74
2024-09-17 오후 11:17:43, 0.38, 42.00, 105394, 49842, 0, 1.87
2024-09-17 오후 11:17:44, 0.00, 42.00, 107747, 50955, 0, 2.12
2024-09-17 오후 11:17:45, 0.76, 42.00, 110688, 52346, 0, 2.02
2024-09-17 오후 11:17:46, 0.00, 42.00, 113629, 53737, 0, 2.02
2024-09-17 오후 11:17:47, 0.39, 42.00, 116393, 55044, 0, 2.13
2024-09-17 오후 11:17:48, 0.38, 42.00, 119334, 56435, 0, 2.26
2024-09-17 오후 11:17:49, 0.38, 42.00, 122216, 57798, 0, 2.06
2024-09-17 오후 11:17:50, 0.38, 42.00, 125157, 59189, 0, 2.06
2024-09-17 오후 11:17:51, 0.00, 42.00, 128098, 60580, 0, 1.86
2024-09-17 오후 11:17:52, 0.38, 42.00, 130980, 61943, 0, 1.90
2024-09-17 오후 11:17:53, 0.38, 42.00, 133921, 63334, 0, 2.18
2024-09-17 오후 11:17:54, 0.00, 42.00, 136862, 64725, 0, 2.00
2024-09-17 오후 11:17:55, 0.00, 42.00, 139803, 66116, 0, 1.70
2024-09-17 오후 11:17:56, 0.00, 42.00, 142744, 67507, 0, 2.08
2024-09-17 오후 11:17:57, 0.38, 42.00, 145685, 68898, 0, 1.86
2024-09-17 오후 11:17:58, 0.39, 42.00, 148567, 70261, 0, 2.12
2024-09-17 오후 11:17:59, 0.38, 42.00, 150802, 71318, 0, 1.66
2024-09-17 오후 11:18:01, 0.76, 42.00, 152450, 72098, 0, 1.71
2024-09-17 오후 11:18:02, 0.38, 42.00, 154803, 73211, 0, 2.08
2024-09-17 오후 11:18:03, 0.38, 42.00, 157744, 74602, 0, 2.16
2024-09-17 오후 11:18:04, 0.76, 42.00, 160508, 75909, 0, 2.28
2024-09-17 오후 11:18:05, 0.00, 42.00, 163449, 77300, 0, 2.06
2024-09-17 오후 11:18:06, 1.14, 42.00, 166390, 78691, 0, 1.82
2024-09-17 오후 11:18:07, 0.77, 42.00, 169272, 80054, 0, 2.04
2024-09-17 오후 11:18:08, 0.00, 42.00, 172213, 81445, 0, 2.04
2024-09-17 오후 11:18:09, 1.14, 42.00, 175095, 82808, 0, 2.16
2024-09-17 오후 11:18:10, 0.00, 42.00, 178036, 84199, 0, 1.92
2024-09-17 오후 11:18:11, 0.00, 42.00, 180977, 85590, 0, 1.88
2024-09-17 오후 11:18:12, 0.39, 42.00, 183918, 86981, 0, 1.66
2024-09-17 오후 11:18:13, 0.39, 42.00, 186859, 88372, 0, 2.18
2024-09-17 오후 11:18:14, 0.39, 42.00, 189800, 89763, 0, 1.74
2024-09-17 오후 11:18:15, 0.00, 42.00, 192682, 91126, 0, 1.94
2024-09-17 오후 11:18:16, 0.38, 42.00, 194917, 92183, 0, 2.08
2024-09-17 오후 11:18:17, 0.00, 42.00, 196565, 92963, 0, 2.04
2024-09-17 오후 11:18:18, 0.38, 42.00, 198918, 94076, 0, 2.00
2024-09-17 오후 11:18:19, 0.38, 42.00, 201859, 95467, 0, 2.46
2024-09-17 오후 11:18:20, 0.38, 42.00, 204623, 96774, 0, 1.91
2024-09-17 오후 11:18:21, 0.00, 42.00, 207564, 98165, 0, 2.16
2024-09-17 오후 11:18:22, 0.39, 42.00, 210505, 99556, 0, 2.24
2024-09-17 오후 11:18:23, 0.00, 42.00, 213387, 100919, 0, 1.88
2024-09-17 오후 11:18:24, 0.38, 42.00, 216328, 102310, 0, 2.08
2024-09-17 오후 11:18:25, 0.39, 42.00, 219210, 103673, 0, 1.88
2024-09-17 오후 11:18:26, 0.39, 42.00, 222151, 105064, 0, 1.76
2024-09-17 오후 11:18:27, 0.38, 42.00, 225092, 106455, 0, 1.98
2024-09-17 오후 11:18:28, 0.38, 42.00, 228033, 107846, 0, 2.22
2024-09-17 오후 11:18:29, 0.38, 42.00, 230974, 109237, 0, 1.86
2024-09-17 오후 11:18:30, 0.38, 42.00, 233915, 110628, 0, 1.80
2024-09-17 오후 11:18:31, 0.00, 42.00, 236856, 112019, 0, 2.00
2024-09-17 오후 11:18:32, 1.16, 42.00, 239326, 113187, 0, 2.07
2024-09-17 오후 11:18:33, 0.00, 42.00, 240680, 113828, 0, 1.57
2024-09-17 오후 11:18:34, 0.76, 42.00, 243033, 114941, 0, 1.52
2024-09-17 오후 11:18:35, 0.38, 42.00, 245974, 116332, 0, 1.70
2024-09-17 오후 11:18:36, 0.00, 42.00, 248915, 117723, 0, 1.78
2024-09-17 오후 11:18:37, 0.38, 42.00, 251679, 119030, 0, 1.85
2024-09-17 오후 11:18:38, 0.00, 42.00, 254620, 120421, 0, 1.74
2024-09-17 오후 11:18:39, 0.38, 42.00, 257502, 121784, 0, 2.02
2024-09-17 오후 11:18:40, 0.38, 42.00, 260443, 123175, 0, 2.18
2024-09-17 오후 11:18:41, 0.00, 42.00, 263384, 124566, 0, 1.88
2024-09-17 오후 11:18:42, 1.15, 42.00, 266266, 125929, 0, 1.69
2024-09-17 오후 11:18:43, 0.00, 42.00, 269207, 127320, 0, 1.76
2024-09-17 오후 11:18:44, 0.39, 42.00, 272148, 128711, 0, 2.08
2024-09-17 오후 11:18:45, 0.38, 42.00, 275089, 130102, 0, 1.84
2024-09-17 오후 11:18:46, 0.00, 42.00, 278030, 131493, 0, 2.12
2024-09-17 오후 11:18:47, 0.76, 42.00, 280971, 132884, 0, 1.74
2024-09-17 오후 11:18:48, 0.00, 42.00, 283853, 134247, 0, 1.88
2024-09-17 오후 11:18:49, 0.38, 42.00, 286088, 135304, 0, 1.84
2024-09-17 오후 11:18:51, 0.39, 42.00, 287736, 136084, 0, 1.68
2024-09-17 오후 11:18:52, 0.00, 42.00, 290089, 137197, 0, 1.65
2024-09-17 오후 11:18:53, 0.39, 42.00, 293030, 138588, 0, 2.14
2024-09-17 오후 11:18:54, 0.76, 42.00, 295794, 139895, 0, 1.91
2024-09-17 오후 11:18:55, 0.38, 42.00, 298735, 141286, 0, 1.82
2024-09-17 오후 11:18:56, 0.00, 42.00, 301676, 142677, 0, 1.90
2024-09-17 오후 11:18:57, 0.38, 42.00, 304558, 144040, 0, 2.29
2024-09-17 오후 11:18:58, 0.38, 42.00, 307499, 145431, 0, 2.06
2024-09-17 오후 11:18:59, 0.39, 42.00, 310381, 146794, 0, 2.43
2024-09-17 오후 11:19:00, 0.39, 42.00, 313322, 148185, 0, 1.74
2024-09-17 오후 11:19:01, 0.00, 42.00, 316263, 149576, 0, 2.06
2024-09-17 오후 11:19:02, 0.00, 42.00, 319204, 150967, 0, 2.12
2024-09-17 오후 11:19:03, 0.39, 42.00, 322145, 152358, 0, 2.14
2024-09-17 오후 11:19:04, 0.39, 42.00, 325086, 153749, 0, 1.84
2024-09-17 오후 11:19:05, 0.38, 42.00, 327968, 155112, 0, 1.82
2024-09-17 오후 11:19:06, 0.38, 42.00, 329499, 155920, 0, 1.69
2024-09-17 오후 11:19:07, 0.00, 42.00, 331557, 156810, 0, 1.89
2024-09-17 오후 11:19:08, 0.76, 42.00, 334204, 158062, 0, 1.78
2024-09-17 오후 11:19:09, 0.39, 42.00, 337145, 159453, 0, 2.00
2024-09-17 오후 11:19:10, 0.00, 42.00, 339909, 160760, 0, 1.79
2024-09-17 오후 11:19:11, 0.38, 42.00, 342850, 162151, 0, 2.24
2024-09-17 오후 11:19:12, 0.00, 42.00, 345732, 163514, 0, 1.94
2024-09-17 오후 11:19:13, 0.38, 42.00, 348673, 164905, 0, 2.12
2024-09-17 오후 11:19:14, 0.00, 42.00, 351614, 166296, 0, 1.84
2024-09-17 오후 11:19:15, 0.38, 42.00, 354496, 167659, 0, 2.04
2024-09-17 오후 11:19:16, 0.00, 42.00, 357437, 169050, 0, 1.94
2024-09-17 오후 11:19:17, 0.38, 42.00, 360378, 170441, 0, 1.72
2024-09-17 오후 11:19:18, 0.00, 42.00, 363319, 171832, 0, 1.90
2024-09-17 오후 11:19:19, 0.38, 42.00, 366260, 173223, 0, 1.48
2024-09-17 오후 11:19:20, 0.39, 42.00, 369201, 174614, 0, 1.56
2024-09-17 오후 11:19:21, 0.38, 42.00, 371377, 175643, 0, 1.84
2024-09-17 오후 11:19:22, 0.38, 42.00, 373025, 176423, 0, 1.82
2024-09-17 오후 11:19:23, 0.38, 42.00, 375378, 177536, 0, 2.20
2024-09-17 오후 11:19:24, 0.38, 42.00, 378319, 178927, 0, 1.78
2024-09-17 오후 11:19:25, 0.00, 42.00, 381260, 180318, 0, 1.98
2024-09-17 오후 11:19:26, 0.38, 42.00, 384024, 181625, 0, 2.49
2024-09-17 오후 11:19:27, 0.00, 42.00, 386965, 183016, 0, 2.08
2024-09-17 오후 11:19:28, 0.76, 42.00, 389847, 184379, 0, 2.02
2024-09-17 오후 11:19:29, 0.39, 42.00, 392788, 185770, 0, 2.34
2024-09-17 오후 11:19:30, 0.38, 42.00, 395729, 187161, 0, 2.28
2024-09-17 오후 11:19:31, 0.38, 42.00, 398611, 188524, 0, 1.98
2024-09-17 오후 11:19:32, 0.00, 42.00, 401552, 189915, 0, 1.84
2024-09-17 오후 11:19:33, 0.38, 42.00, 404493, 191306, 0, 1.84
2024-09-17 오후 11:19:34, 0.00, 42.00, 407434, 192697, 0, 2.04
2024-09-17 오후 11:19:35, 1.90, 42.00, 410375, 194088, 0, 2.38
2024-09-17 오후 11:19:36, 0.00, 42.00, 413316, 195479, 0, 2.52
2024-09-17 오후 11:19:37, 0.76, 42.00, 416257, 196870, 0, 1.96
2024-09-17 오후 11:19:38, 0.38, 42.00, 418727, 198038, 0, 1.64
2024-09-17 오후 11:19:39, 0.38, 42.00, 420081, 198679, 0, 1.78
2024-09-17 오후 11:19:41, 0.76, 42.00, 422434, 199792, 0, 1.83
2024-09-17 오후 11:19:42, 0.00, 42.00, 425375, 201183, 0, 1.80
2024-09-17 오후 11:19:43, 0.38, 42.00, 428316, 202574, 0, 2.22
2024-09-17 오후 11:19:44, 0.38, 42.00, 431080, 203881, 0, 2.23
2024-09-17 오후 11:19:45, 0.00, 42.00, 434021, 205272, 0, 2.34
2024-09-17 오후 11:19:46, 0.38, 42.00, 436903, 206635, 0, 2.00
2024-09-17 오후 11:19:47, 0.38, 42.00, 439844, 208026, 0, 2.16
2024-09-17 오후 11:19:48, 0.00, 42.00, 442785, 209417, 0, 2.02
2024-09-17 오후 11:19:49, 0.38, 42.00, 445667, 210780, 0, 1.92
2024-09-17 오후 11:19:50, 0.00, 42.00, 448608, 212171, 0, 1.88
2024-09-17 오후 11:19:51, 0.39, 42.00, 451549, 213562, 0, 1.84
2024-09-17 오후 11:19:52, 0.39, 42.00, 454490, 214953, 0, 1.78
2024-09-17 오후 11:19:53, 0.38, 42.00, 457431, 216344, 0, 1.94
2024-09-17 오후 11:19:54, 0.38, 42.00, 460372, 217735, 0, 1.78
2024-09-17 오후 11:19:55, 0.38, 42.00, 463254, 219098, 0, 2.06
2024-09-17 오후 11:19:56, 0.38, 42.00, 465489, 220155, 0, 1.66
2024-09-17 오후 11:19:57, 0.38, 42.00, 467137, 220935, 0, 1.71
2024-09-17 오후 11:19:58, 0.38, 42.00, 469490, 222048, 0, 1.73
2024-09-17 오후 11:19:59, 0.38, 42.00, 472431, 223439, 0, 1.94
2024-09-17 오후 11:20:00, 0.77, 42.00, 475195, 224746, 0, 1.74
2024-09-17 오후 11:20:01, 0.00, 42.00, 478136, 226137, 0, 1.46
2024-09-17 오후 11:20:02, 0.39, 42.00, 481077, 227528, 0, 1.86
2024-09-17 오후 11:20:03, 0.38, 42.00, 483959, 228891, 0, 1.88
2024-09-17 오후 11:20:04, 0.00, 42.00, 486900, 230282, 0, 2.02
2024-09-17 오후 11:20:05, 0.38, 42.00, 489782, 231645, 0, 2.29
2024-09-17 오후 11:20:06, 0.39, 42.00, 492723, 233036, 0, 2.28
2024-09-17 오후 11:20:07, 0.00, 42.00, 495664, 234427, 0, 2.40
2024-09-17 오후 11:20:08, 0.00, 42.00, 498605, 235818, 0, 1.98
2024-09-17 오후 11:20:09, 0.39, 42.00, 501546, 237209, 0, 1.68
2024-09-17 오후 11:20:10, 0.39, 42.00, 504487, 238600, 0, 2.32
2024-09-17 오후 11:20:11, 0.00, 42.00, 507369, 239963, 0, 1.88
2024-09-17 오후 11:20:12, 0.38, 42.00, 509429, 240938, 0, 1.74
2024-09-17 오후 11:20:13, 0.38, 42.00, 511252, 241800, 0, 2.16
2024-09-17 오후 11:20:14, 0.00, 42.00, 513605, 242913, 0, 2.17
2024-09-17 오후 11:20:15, 0.39, 42.00, 516546, 244304, 0, 1.58
2024-09-17 오후 11:20:16, 0.39, 42.00, 519310, 245611, 0, 0.62
2024-09-17 오후 11:20:17, 0.00, 42.00, 522251, 247002, 0, 0.76
2024-09-17 오후 11:20:18, 0.00, 42.00, 525133, 248365, 0, 0.73
2024-09-17 오후 11:20:19, 0.77, 42.00, 528074, 249756, 0, 0.84
2024-09-17 오후 11:20:20, 0.39, 42.00, 530956, 251119, 0, 0.71
2024-09-17 오후 11:20:21, 0.00, 42.00, 533897, 252510, 0, 0.78
2024-09-17 오후 11:20:22, 0.00, 42.00, 536838, 253901, 0, 0.48
2024-09-17 오후 11:20:23, 0.00, 42.00, 539779, 255292, 0, 0.40
2024-09-17 오후 11:20:24, 0.00, 42.00, 542720, 256683, 0, 0.40
2024-09-17 오후 11:20:25, 0.39, 42.00, 545661, 258074, 0, 0.72
2024-09-17 오후 11:20:26, 0.00, 42.00, 548543, 259437, 0, 0.31
2024-09-17 오후 11:20:27, 0.38, 42.00, 550603, 260412, 0, 0.37
2024-09-17 오후 11:20:28, 0.38, 42.00, 552426, 261274, 0, 0.52
2024-09-17 오후 11:20:29, 0.00, 42.00, 554779, 262387, 0, 0.60
2024-09-17 오후 11:20:30, 0.38, 42.00, 557720, 263778, 0, 0.64
2024-09-17 오후 11:20:31, 0.38, 42.00, 560484, 265085, 0, 0.68
2024-09-17 오후 11:20:32, 0.00, 42.00, 563425, 266476, 0, 0.66
2024-09-17 오후 11:20:34, 1.52, 42.00, 566366, 267867, 0, 0.72
2024-09-17 오후 11:20:35, 0.00, 42.00, 569248, 269230, 0, 0.61
2024-09-17 오후 11:20:36, 0.38, 42.00, 572189, 270621, 0, 0.74
2024-09-17 오후 11:20:37, 0.38, 42.00, 575071, 271984, 0, 0.73
2024-09-17 오후 11:20:38, 0.00, 42.00, 578012, 273375, 0, 0.78
2024-09-17 오후 11:20:39, 0.38, 42.00, 580953, 274766, 0, 0.68
2024-09-17 오후 11:20:40, 0.39, 42.00, 583894, 276157, 0, 0.58
2024-09-17 오후 11:20:41, 0.00, 42.00, 586835, 277548, 0, 0.58
2024-09-17 오후 11:20:42, 1.14, 42.00, 589776, 278939, 0, 0.52
2024-09-17 오후 11:20:43, 0.00, 42.00, 592717, 280330, 0, 0.70
2024-09-17 오후 11:20:44, 0.38, 42.00, 595599, 281693, 0, 0.51
2024-09-17 오후 11:20:45, 0.38, 42.00, 597071, 282390, 0, 0.68
2024-09-17 오후 11:20:46, 0.00, 42.00, 598894, 283252, 0, 0.74
2024-09-17 오후 11:20:47, 0.76, 42.00, 601835, 284643, 0, 0.54
2024-09-17 오후 11:20:48, 0.76, 42.00, 604776, 286034, 0, 0.86
2024-09-17 오후 11:20:49, 0.38, 42.00, 607540, 287341, 0, 0.66
2024-09-17 오후 11:20:50, 0.00, 42.00, 610481, 288732, 0, 0.66
2024-09-17 오후 11:20:51, 1.15, 42.00, 613363, 290095, 0, 0.67
2024-09-17 오후 11:20:52, 0.00, 42.00, 616304, 291486, 0, 0.72
2024-09-17 오후 11:20:53, 0.38, 42.00, 619245, 292877, 0, 0.72
2024-09-17 오후 11:20:54, 0.00, 42.00, 622127, 294240, 0, 0.71
2024-09-17 오후 11:20:55, 0.38, 42.00, 625068, 295631, 0, 0.66
2024-09-17 오후 11:20:56, 0.00, 42.00, 628009, 297022, 0, 0.66
2024-09-17 오후 11:20:57, 0.39, 42.00, 630950, 298413, 0, 0.78
2024-09-17 오후 11:20:58, 0.38, 42.00, 633891, 299804, 0, 0.60
2024-09-17 오후 11:20:59, 0.00, 42.00, 636832, 301195, 0, 0.48
2024-09-17 오후 11:21:00, 0.00, 42.00, 639773, 302586, 0, 0.04
2024-09-17 오후 11:21:01, 0.39, 42.00, 642243, 303754, 0, 0.52
2024-09-17 오후 11:21:02, 0.00, 42.00, 643597, 304395, 0, 0.61
2024-09-17 오후 11:21:03, 0.38, 42.00, 645950, 305508, 0, 0.60
2024-09-17 오후 11:21:04, 1.15, 42.00, 648891, 306899, 0, 0.50
2024-09-17 오후 11:21:05, 0.00, 42.00, 651832, 308290, 0, 0.62
2024-09-17 오후 11:21:06, 0.76, 42.00, 654596, 309597, 0, 0.70
2024-09-17 오후 11:21:07, 0.00, 42.00, 657537, 310988, 0, 0.74
2024-09-17 오후 11:21:08, 0.38, 42.00, 660419, 312351, 0, 0.61
2024-09-17 오후 11:21:09, 0.00, 42.00, 663360, 313742, 0, 0.60
2024-09-17 오후 11:21:10, 1.15, 42.00, 666301, 315133, 0, 0.68
2024-09-17 오후 11:21:11, 0.39, 42.00, 669183, 316496, 0, 0.84
2024-09-17 오후 11:21:12, 0.38, 42.00, 672124, 317887, 0, 0.10
2024-09-17 오후 11:21:13, 0.38, 42.00, 675065, 319278, 0, 0.02
2024-09-17 오후 11:21:14, 0.39, 42.00, 678006, 320669, 0, 0.68
2024-09-17 오후 11:21:15, 0.39, 42.00, 680947, 322060, 0, 0.56
2024-09-17 오후 11:21:16, 0.00, 42.00, 683888, 323451, 0, 0.22
2024-09-17 오후 11:21:17, 0.38, 42.00, 686358, 324619, 0, 0.38
2024-09-17 오후 11:21:18, 0.00, 42.00, 687712, 325260, 0, 0.43
2024-09-17 오후 11:21:19, 0.76, 42.00, 690065, 326373, 0, 0.52
2024-09-17 오후 11:21:20, 0.39, 42.00, 693006, 327764, 0, 0.68
2024-09-17 오후 11:21:21, 0.00, 42.00, 695947, 329155, 0, 0.64
2024-09-17 오후 11:21:23, 0.38, 42.00, 698711, 330462, 0, 0.81
2024-09-17 오후 11:21:24, 0.38, 42.00, 701652, 331853, 0, 0.66
2024-09-17 오후 11:21:25, 0.00, 42.00, 704534, 333216, 0, 0.73
2024-09-17 오후 11:21:26, 0.77, 42.00, 707475, 334607, 0, 0.70
2024-09-17 오후 11:21:27, 0.39, 42.00, 710357, 335970, 0, 0.63
2024-09-17 오후 11:21:28, 0.38, 42.00, 713298, 337361, 0, 0.68
2024-09-17 오후 11:21:29, 0.39, 42.00, 716239, 338752, 0, 0.66
2024-09-17 오후 11:21:30, 0.39, 42.00, 719180, 340143, 0, 0.66
2024-09-17 오후 11:21:31, 0.00, 42.00, 722121, 341534, 0, 0.08
2024-09-17 오후 11:21:32, 0.38, 42.00, 725062, 342925, 0, 0.52
2024-09-17 오후 11:21:33, 0.39, 42.00, 728003, 344316, 0, 0.20
2024-09-17 오후 11:21:34, 0.38, 42.00, 730179, 345345, 0, 0.11
2024-09-17 오후 11:21:35, 0.38, 42.00, 731827, 346125, 0, 0.50
2024-09-17 오후 11:21:36, 0.00, 42.00, 734180, 347238, 0, 0.65
2024-09-17 오후 11:21:37, 0.39, 42.00, 737121, 348629, 0, 0.50
2024-09-17 오후 11:21:38, 0.76, 42.00, 739885, 349936, 0, 0.62
2024-09-17 오후 11:21:39, 0.00, 42.00, 742826, 351327, 0, 0.60
