Time, CPU(%), Memory(MB), Sent(Bytes), Received(Bytes), Errors, Average Response Time(ms)
2024-09-17 오후 9:34:27, 0.00, 42.00, 19947, 9438, 0, 0.40
2024-09-17 오후 9:34:28, 1.51, 42.00, 25603, 12118, 0, 0.55
2024-09-17 오후 9:34:29, 0.38, 42.00, 31200, 14770, 0, 0.55
2024-09-17 오후 9:34:30, 0.39, 42.00, 36620, 17338, 0, 0.68
2024-09-17 오후 9:34:31, 0.38, 42.00, 42217, 19990, 0, 0.71
2024-09-17 오후 9:34:32, 0.77, 42.00, 47697, 22587, 0, 0.61
2024-09-17 오후 9:34:33, 0.00, 42.00, 53236, 25212, 0, 0.59
2024-09-17 오후 9:34:34, 0.38, 42.00, 58834, 27865, 0, 0.53
2024-09-17 오후 9:34:35, 0.38, 42.00, 64373, 30490, 0, 0.60
2024-09-17 오후 9:34:36, 0.39, 42.00, 69794, 33059, 0, 0.49
2024-09-17 오후 9:34:37, 0.38, 42.00, 75274, 35656, 0, 0.48
2024-09-17 오후 9:34:38, 0.38, 42.00, 80696, 38226, 0, 0.45
2024-09-17 오후 9:34:39, 1.93, 42.00, 86117, 40795, 0, 0.60
2024-09-17 오후 9:34:40, 1.15, 42.00, 91714, 43447, 0, 0.60
2024-09-17 오후 9:34:41, 0.38, 42.00, 97311, 46099, 0, 0.52
2024-09-17 오후 9:34:42, 0.38, 42.00, 102967, 48779, 0, 0.53
2024-09-17 오후 9:34:43, 0.38, 42.00, 108623, 51459, 0, 0.52
2024-09-17 오후 9:34:44, 0.38, 42.00, 114101, 54054, 0, 0.57
2024-09-17 오후 9:34:45, 0.00, 42.00, 119698, 56706, 0, 0.48
2024-09-17 오후 9:34:46, 0.38, 42.00, 125177, 59302, 0, 0.51
2024-09-17 오후 9:34:47, 0.38, 42.00, 130774, 61954, 0, 0.52
2024-09-17 오후 9:34:48, 0.77, 42.00, 136253, 64550, 0, 0.41
2024-09-17 오후 9:34:49, 0.00, 42.00, 141792, 67175, 0, 0.36
2024-09-17 오후 9:34:50, 0.38, 42.00, 147214, 69745, 0, 0.37
2024-09-17 오후 9:34:51, 0.38, 42.00, 152753, 72370, 0, 0.44
2024-09-17 오후 9:34:52, 0.38, 42.00, 158233, 74967, 0, 0.33
2024-09-17 오후 9:34:53, 0.77, 42.00, 163772, 77592, 0, 0.53
2024-09-17 오후 9:34:54, 0.38, 42.00, 169311, 80217, 0, 0.34
2024-09-17 오후 9:34:55, 0.38, 42.00, 174792, 82815, 0, 0.42
2024-09-17 오후 9:34:56, 0.77, 42.00, 180389, 85467, 0, 0.43
2024-09-17 오후 9:34:57, 0.00, 42.00, 185986, 88119, 0, 0.46
2024-09-17 오후 9:34:58, 1.53, 42.00, 191583, 90771, 0, 0.55
2024-09-17 오후 9:34:59, 0.38, 42.00, 197239, 93451, 0, 0.64
2024-09-17 오후 9:35:01, 1.15, 42.00, 202718, 96047, 0, 0.68
2024-09-17 오후 9:35:02, 0.00, 42.00, 208255, 98670, 0, 0.56
2024-09-17 오후 9:35:03, 0.00, 42.00, 213852, 101322, 0, 0.53
2024-09-17 오후 9:35:04, 1.15, 42.00, 219272, 103890, 0, 0.58
2024-09-17 오후 9:35:05, 0.38, 42.00, 224869, 106542, 0, 0.55
2024-09-17 오후 9:35:06, 1.15, 42.00, 230349, 109139, 0, 0.49
2024-09-17 오후 9:35:07, 0.38, 42.00, 235888, 111764, 0, 0.51
2024-09-17 오후 9:35:08, 0.00, 42.00, 241486, 114417, 0, 0.53
2024-09-17 오후 9:35:09, 0.00, 42.00, 247025, 117042, 0, 0.54
2024-09-17 오후 9:35:10, 0.38, 42.00, 252505, 119639, 0, 0.47
2024-09-17 오후 9:35:11, 0.77, 42.00, 258044, 122264, 0, 0.57
2024-09-17 오후 9:35:12, 0.00, 42.00, 263642, 124917, 0, 0.46
