Timestamp,UserID,CPUUsage,MemoryUsage,NetworkReceived,NetworkSent,DiskRead,DiskWrite,ProcessingTime,Mode,PositionDifference,PacketReturned,TotalErrors
2024-09-26 13:37,2,24.94,54,36,30,0,0,3,1,0.44,1,0
2024-09-26 13:37,6,28.7,54,36,30,0,0,6,1,0.38,1,0
2024-09-26 13:37,1,29.9,54,36,30,0,0,11,1,0.34,1,0
2024-09-26 13:37,4,28.23,55,36,30,0,0,10,1,0.47,1,0
2024-09-26 13:37,7,28.02,55,36,30,0,0,8,1,0.34,1,0
2024-09-26 13:37,5,26.41,55,36,30,0,0,18,1,0.48,1,0
2024-09-26 13:37,3,33.32,56,36,30,0,0,21,1,0.38,1,0
2024-09-26 13:37,10,33.31,56,36,30,0,0,18,1,0.38,1,0
2024-09-26 13:37,9,30.48,55,36,30,0,0,15,1,0.36,1,0
2024-09-26 13:37,8,31.72,55,36,30,0,0,20,1,0.41,1,0
2024-09-26 13:37,3,29.1,58,36,0,0,0,1,1,0.05,0,0
2024-09-26 13:37,9,26.1,58,36,0,0,0,4,1,0,0,0
2024-09-26 13:37,7,33.25,58,36,0,0,0,3,1,0.01,0,0
2024-09-26 13:37,5,30.64,58,36,0,0,0,5,1,0.02,0,0
2024-09-26 13:37,2,34.59,58,36,0,0,0,9,1,0.02,0,0
2024-09-26 13:37,1,36.19,58,36,0,0,0,10,1,0.02,0,0
2024-09-26 13:37,6,36.28,58,36,0,0,0,8,1,0.01,0,0
2024-09-26 13:37,8,39.09,58,36,0,0,0,7,1,0.01,0,0
2024-09-26 13:37,4,38.77,58,36,0,0,0,10,1,0,0,0
2024-09-26 13:37,10,39.81,58,36,0,0,0,10,1,0,0,0
2024-09-26 13:37,9,25.29,58,36,0,0,0,3,1,0.01,0,0
2024-09-26 13:37,10,30.02,58,36,0,0,0,2,1,0.01,0,0
2024-09-26 13:37,8,31.08,58,36,0,0,0,5,1,0.01,0,0
2024-09-26 13:37,6,29.51,58,36,0,0,0,4,1,0,0,0
