Timestamp,UserID,CPUUsage,MemoryUsage,NetworkReceived,NetworkSent,DiskRead,DiskWrite,ProcessingTime,Mode,PositionDifference,PacketReturned,TotalErrors
2024-09-26 20:18:56,6,33.90,48,36,30,0,0,0,0,0.00,1,0
2024-09-26 20:18:56,4,33.18,49,36,30,0,0,1,0,0.00,1,0
2024-09-26 20:18:56,1,33.53,48,36,30,0,0,3,0,0.00,1,0
2024-09-26 20:18:56,3,33.53,49,36,30,0,0,2,0,0.00,1,0
2024-09-26 20:18:56,5,33.53,48,36,30,0,0,0,0,0.00,1,0
2024-09-26 20:18:56,10,39.00,50,36,30,0,0,1,0,0.00,1,0
2024-09-26 20:18:56,2,43.77,50,36,30,0,0,0,0,0.00,1,0
2024-09-26 20:18:56,7,31.51,50,36,30,0,0,0,0,0.00,1,0
2024-09-26 20:18:56,9,31.51,50,36,30,0,0,0,0,0.00,1,0
2024-09-26 20:18:56,8,38.61,50,36,30,0,0,0,0,0.00,1,0
2024-09-26 20:18:56,1,26.98,53,288,30,0,0,4,0,0.00,1,0
2024-09-26 20:18:56,5,24.08,54,288,30,0,0,6,0,0.00,1,0
2024-09-26 20:18:56,3,24.08,53,288,30,0,0,8,0,0.00,1,0
2024-09-26 20:18:56,6,25.72,53,288,30,0,0,3,0,0.00,1,0
2024-09-26 20:18:56,2,30.84,53,324,30,0,0,3,0,0.00,1,0
2024-09-26 20:18:56,4,29.39,54,288,30,0,0,12,0,0.00,1,0
2024-09-26 20:18:56,10,28.59,54,288,30,0,0,8,0,0.00,1,0
2024-09-26 20:18:56,8,32.46,53,324,30,0,0,0,0,0.00,1,0
2024-09-26 20:18:56,9,35.41,53,288,30,0,0,1,0,0.00,1,0
2024-09-26 20:18:56,7,33.87,52,324,30,0,0,3,0,0.00,1,0
2024-09-26 20:18:56,5,48.10,53,36,30,0,0,6,0,0.00,1,0
2024-09-26 20:18:56,6,49.54,54,36,30,0,0,2,0,0.00,1,0
2024-09-26 20:18:56,1,55.12,54,36,30,0,0,7,0,0.00,1,0
2024-09-26 20:18:56,3,46.28,54,36,30,0,0,5,0,0.00,1,0
2024-09-26 20:18:56,4,46.28,54,36,30,0,0,0,0,0.00,1,0
2024-09-26 20:18:56,10,49.54,54,36,30,0,0,0,0,0.00,1,0
2024-09-26 20:18:56,9,43.97,54,36,30,0,0,0,0,0.00,1,0
2024-09-26 20:18:57,2,0.00,54,36,30,0,0,0,0,0.00,1,0
2024-09-26 20:18:57,1,48.11,55,36,30,0,0,2,0,0.00,1,0
2024-09-26 20:18:57,7,48.71,56,36,30,0,0,2,0,0.00,1,0
2024-09-26 20:18:57,3,38.49,56,36,30,0,0,3,0,0.00,1,0
2024-09-26 20:18:57,6,38.03,55,36,30,0,0,0,0,0.00,1,0
2024-09-26 20:18:57,8,35.85,55,36,30,0,0,1,0,0.00,1,0
2024-09-26 20:18:57,5,43.83,55,36,30,0,0,0,0,0.00,1,0
2024-09-26 20:18:57,10,36.69,55,36,30,0,0,0,0,0.00,1,0
2024-09-26 20:18:57,9,41.04,55,36,30,0,0,0,0,0.00,1,0
2024-09-26 20:18:57,4,41.05,55,36,30,0,0,1,0,0.00,1,0
2024-09-26 20:18:58,2,39.09,55,36,30,0,0,0,0,0.00,1,0
2024-09-26 20:18:58,7,46.44,55,36,30,0,0,2,0,0.00,1,0
2024-09-26 20:18:58,5,43.03,55,36,30,0,0,1,0,0.00,1,0
2024-09-26 20:18:58,6,42.59,55,36,30,0,0,0,0,0.00,1,0
2024-09-26 20:18:58,8,41.02,55,36,30,0,0,2,0,0.00,1,0
2024-09-26 20:18:58,1,41.48,55,36,30,0,0,3,0,0.00,1,0
2024-09-26 20:18:58,3,50.72,55,36,30,0,0,3,0,0.00,1,0
2024-09-26 20:18:58,10,50.13,55,36,30,0,0,5,0,0.00,1,0
2024-09-26 20:18:58,4,46.85,55,36,30,0,0,4,0,0.00,1,0
2024-09-26 20:18:58,9,46.59,55,36,30,0,0,5,0,0.00,1,0
2024-09-26 20:18:59,2,71.07,58,36,30,0,0,0,0,0.00,1,0
2024-09-26 20:18:59,6,41.52,58,36,30,0,0,0,0,0.00,1,0
2024-09-26 20:18:59,1,36.49,58,36,30,0,0,1,0,0.00,1,0
2024-09-26 20:18:59,5,36.49,58,36,30,0,0,2,0,0.00,1,0
2024-09-26 20:18:59,8,49.59,58,36,30,0,0,3,0,0.00,1,0
2024-09-26 20:18:59,7,49.58,58,36,30,0,0,3,0,0.00,1,0
2024-09-26 20:18:59,3,49.01,58,36,30,0,0,3,0,0.00,1,0
2024-09-26 20:18:59,4,48.47,58,36,30,0,0,4,0,0.00,1,0
2024-09-26 20:18:59,9,31.55,58,36,30,0,0,4,0,0.00,1,0
2024-09-26 20:18:59,10,39.65,58,36,30,0,0,5,0,0.00,1,0
2024-09-26 20:19:00,2,35.48,58,36,30,0,0,0,0,0.00,1,0
2024-09-26 20:19:00,8,27.27,58,36,30,0,0,4,0,0.00,1,0
2024-09-26 20:19:00,7,28.25,58,36,30,0,0,5,0,0.00,1,0
2024-09-26 20:19:00,9,25.38,58,36,30,0,0,6,0,0.00,1,0
2024-09-26 20:19:00,1,22.99,58,36,30,0,0,5,0,0.00,1,0
2024-09-26 20:19:00,3,32.19,58,36,30,0,0,6,0,0.00,1,0
2024-09-26 20:19:00,6,28.69,58,36,30,0,0,0,0,0.00,1,0
